,영화명,개봉일,관객수,배급사,장르,기사수,감독수상,감독파워,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_관객수,개봉1일_스크린수,개봉1일_상영횟수,개봉1일_관객수,개봉2일_스크린수,개봉2일_상영횟수,개봉2일_관객수,개봉3일_스크린수,개봉3일_상영횟수,개봉3일_관객수,상영등급,기대지수,비기대지수,holiday,season
59,강남 1970,20150121,2192276,(주)쇼박스,액션,20733,15,0,12.0,48,"10,822",684,"2,816","152,329",696,"2,847","128,753",752,"3,044","148,335",청소년 관람불가,21361,4102,1,4
60,뷰티 인사이드,20150820,2053435,(주)넥스트엔터테인먼트월드(NEW),판타지,23636,0,0,81.0,237,"29,229",633,"2,819","114,401",646,"2,885","118,845",648,"2,867","185,720",12세 관람가,17219,6346,1,2
61,오늘의 연애,20150114,1891993,씨제이이앤엠(주),멜로/로맨스,17057,19,0,9.0,35,"7,684",577,"2,798","133,838",598,"2,900","153,283",625,"3,070","157,607",15세 관람가,19766,2573,1,4
62,쎄시봉,20150205,1715370,씨제이이앤엠(주),멜로/로맨스,14729,25,0,25.0,66,"11,447",757,"3,918","96,139",773,"4,016","110,021",829,"4,184","215,539",15세 관람가,12076,24436,1,4
63,더 폰,20151022,1593694,(주)넥스트엔터테인먼트월드(NEW),스릴러,6409,2,0,37.0,88,"18,634",705,"3,328","97,241",749,"3,517","133,145",794,"3,976","249,459",15세 관람가,5205,480,0,3
64,대호,20151216,1584168,(주)넥스트엔터테인먼트월드(NEW),사극,15321,11,0,27.0,92,"19,064",892,"4,005","128,396",863,"3,534","107,684",832,"3,491","116,610",12세 관람가,8397,1702,0,4
65,차이나타운,20150429,1472106,CGV아트하우스,범죄,23441,6,0,22.0,39,"6,348",443,"2,077","90,899",495,"2,272","88,335",500,"2,277","135,205",청소년 관람불가,5953,991,0,1
66,장수상회,20150409,1165780,씨제이이앤엠(주),멜로/로맨스,9525,30,2,38.0,116,"17,046",640,"3,079","53,241",653,"3,215","58,574",688,"3,479","116,858",12세 관람가,15600,1136,0,1
67,성난 변호사,20151008,1128288,씨제이이앤엠(주),범죄,5356,2,0,65.0,123,"13,682",607,"2,839","89,466",593,"2,800","160,928",577,"2,666","156,779",15세 관람가,2973,470,0,3
68,간신,20150521,1110246,롯데쇼핑㈜롯데엔터테인먼트,사극,14926,8,0,10.0,40,"8,947",674,"3,057","83,605",673,"3,140","92,994",697,"3,105","148,495",청소년 관람불가,4570,2003,0,1
69,그놈이다,20151028,1046015,CGV아트하우스,스릴러,14737,0,0,17.0,39,"6,343",510,"2,354","97,168",541,"2,518","68,453",590,"2,773","89,633",15세 관람가,5658,575,0,3
70,미쓰 와이프,20150813,988451,메가박스중앙(주)플러스엠,코미디,9913,0,0,32.0,101,"15,981",413,"1,645","56,370",415,"1,518","84,681",425,"1,412","90,596",15세 관람가,4930,729,1,2
71,허삼관,20150114,955679,(주)넥스트엔터테인먼트월드(NEW),드라마,11846,18,0,37.0,53,"7,868",584,"2,684","73,635",621,"2,687","84,013",582,"2,646","87,228",12세 관람가,10731,2165,1,4
72,살인의뢰,20150312,855980,씨네그루(주)다우기술,범죄,4746,0,0,9.0,25,"6,359",481,"2,492","80,774",508,"2,626","88,138",646,"3,140","187,447",청소년 관람불가,8238,1486,0,1
73,손님,20150709,828025,씨제이이앤엠(주),판타지,73856,0,0,18.0,40,"7,612",493,"2,296","144,967",608,"2,643","112,763",634,"2,842","181,557",15세 관람가,7780,1337,1,2
74,열정같은소리하고있네,20151125,654102,(주)넥스트엔터테인먼트월드(NEW),드라마,6445,3,0,22.0,53,"10,298",550,"2,558","59,737",566,"2,565","45,872",560,"2,631","57,470",15세 관람가,8738,935,0,3
