,영화명,개봉일,관객수,장르,상영등급,기사수,감독수상,감독파워,배우수상,배우파워,개봉전트윗,개봉후트윗,holiday,season,개봉이전_스크린수,개봉이전_상영횟수,배급사크기
240,변산,20180704,490519,드라마,15세 관람가,7676,97,8,5,1,78,209,1,2,14.0,110.0,mid
241,동네사람들,20181107,460381,액션,15세 관람가,37499,0,0,7,6,40,114,0,3,10.0,27.0,mid
242,원더풀 고스트,20180926,450374,코미디,12세 관람가,3365,0,0,1,5,21,75,0,3,12.0,33.0,small
243,흥부: 글로 세상을 바꾼 자,20180214,416303,사극,12세 관람가,780,9,0,4,6,63,184,1,4,8.0,16.0,big
244,도어락,20181205,395313,스릴러,15세 관람가,4619,0,0,0,3,118,241,0,4,44.0,108.0,mid
245,허스토리,20180627,336100,드라마,12세 관람가,6906,8,0,8,4,75,230,0,2,55.0,190.0,big
246,덕구,20180405,315359,드라마,전체 관람가,2781,0,0,0,1,31,102,0,1,9.0,49.0,mid
247,번 더 스테이지: 더 무비,20181115,315014,기타,전체 관람가,1036,0,0,0,0,52,131,0,3,,,small
248,치즈인더트랩,20180314,229005,멜로/로맨스,15세 관람가,16072,0,0,1,3,116,141,0,1,43.0,52.0,mid
249,속닥속닥,20180713,217444,공포(호러),15세 관람가,2522,0,0,0,0,56,122,1,2,7.0,11.0,small
250,나를 기억해,20180419,141222,미스터리,청소년 관람불가,132994,0,0,2,1,42,73,0,1,2.0,5.0,mid
251,독전: 익스텐디드 컷,20180718,137871,범죄,15세 관람가,416,13,3,12,12,108,183,1,2,,,big
252,게이트,20180228,101381,범죄,15세 관람가,27412,0,0,11,9,27,33,1,4,5.0,9.0,small
253,여중생A,20180620,97850,드라마,12세 관람가,4849,0,0,1,1,166,240,0,2,18.0,34.0,small
254,여곡성,20181108,67368,공포(호러),15세 관람가,3475,0,0,4,1,76,128,0,3,3.0,7.0,small
255,번개맨과 신비의 섬,20180405,60561,가족,전체 관람가,69,0,0,0,0,0,4,0,1,3.0,3.0,small
256,머니백,20180412,53610,액션,15세 관람가,2180,0,0,17,14,24,39,0,1,14.0,27.0,mid
257,데자뷰,20180530,48279,미스터리,15세 관람가,4593,0,0,0,0,44,51,0,1,6.0,9.0,mid
258,비밥바룰라,20180124,47565,코미디,12세 관람가,1795,0,0,0,1,25,26,1,4,9.0,12.0,mid
259,배반의 장미,20181018,41054,코미디,15세 관람가,3616,0,0,1,4,38,45,0,3,5.0,5.0,small
260,해피 투게더,20181115,26141,드라마,12세 관람가,34161,0,0,0,4,15,27,0,3,8.0,13.0,small
261,번개맨의 비밀,20181206,6315,가족,전체 관람가,183,0,0,0,0,0,1,0,4,3.0,7.0,small
