,name,moviename,peopleCd,수상횟수
242,배성우,더 폰,20136191,1
243,최민식,대호,10072251,20
244,김혜수,차이나타운,10006380,13
245,김고은,차이나타운,20125838,5
246,엄태구,차이나타운,20111842,2
247,박근형,장수상회,10028490,1
248,윤여정,장수상회,10054391,13
249,조진웅,장수상회,10067353,6
250,한지민,장수상회,10087751,2
251,이선균,성난 변호사,10055970,2
252,김고은,성난 변호사,20125838,5
253,임원희,성난 변호사,10058708,0
254,주지훈,간신,10069179,1
255,김강우,간신,10003507,0
256,천호진,간신,10071900,0
257,임지연,간신,20069387,3
258,이유영,간신,20189016,4
259,주원,그놈이다,20112931,0
260,유해진,그놈이다,10054128,7
261,이유영,그놈이다,20189016,4
262,엄정화,미쓰 와이프,10047352,6
263,송승헌,미쓰 와이프,10037116,1
264,하정우,허삼관,10087253,18
265,하지원,허삼관,10087280,9
266,김상경,살인의뢰,10004396,1
267,김성균,살인의뢰,20127194,5
268,박성웅,살인의뢰,10028773,0
269,류승룡,손님,10019065,6
270,이성민,손님,20110148,1
271,천우희,손님,20133966,7
272,이준,손님,10057494,0
273,정재영,열정같은소리하고있네,10062184,11
274,박보영,열정같은소리하고있네,10028667,11
275,조정석,특종: 량첸살인기,20121022,1
276,이미숙,특종: 량첸살인기,20111403,3
277,이하나,특종: 량첸살인기,10057985,0
278,설경구,서부전선,10035772,22
279,여진구,서부전선,10049790,3
280,김수미,헬머니,10004748,3
281,정만식,헬머니,10061699,0
282,김정태,헬머니,10005617,0
283,이태란,헬머니,10057882,0
284,정애연,헬머니,0,0
285,이영은,헬머니,10056679,0
286,이아인,헬머니,0,0
287,박준금,헬머니,10029263,0
288,진세연,위험한 상견례 2,20195689,0
289,홍종현,위험한 상견례 2,20112211,0
290,신정근,위험한 상견례 2,10040580,0
291,전수경,위험한 상견례 2,0,0
292,김응수,위험한 상견례 2,0,0
293,신하균,순수의 시대,10040665,3
294,장혁,순수의 시대,10060612,0
295,강한나,순수의 시대,20112044,0
296,강하늘,순수의 시대,20111688,2
297,고아성,오피스,10001670,2
298,박성웅,오피스,10028773,0
299,이병헌,"협녀, 칼의 기억",10055626,22
300,전도연,"협녀, 칼의 기억",10061252,25
301,김고은,"협녀, 칼의 기억",20125838,5
302,전도연,무뢰한,10061252,25
303,김남길,무뢰한,10003788,0
304,박성웅,무뢰한,10028773,0
305,이민기,내 심장을 쏴라,10055447,1
306,여진구,내 심장을 쏴라,10049790,3
307,윤계상,소수의견,10054204,1
308,유해진,소수의견,10054128,7
309,김옥빈,소수의견,10005064,1
310,박보영,경성학교: 사라진 소녀들,10028667,11
311,엄지원,경성학교: 사라진 소녀들,10047357,6
312,박소담,경성학교: 사라진 소녀들,20209686,8
313,임창정,치외법권,10058849,3
314,최다니엘,치외법권,20111535,0
315,윤계상,극적인 하룻밤,10054204,1
316,한예리,극적인 하룻밤,20090447,2
317,박병은,극적인 하룻밤,10028660,0
318,박효주,극적인 하룻밤,10029573,0
319,류승룡,도리화가,10019065,6
320,수지,도리화가,20125828,2
321,송새벽,도리화가,10037095,4
322,마동석,함정,10021341,1
323,조한선,함정,10067415,0
324,김민경,함정,20213126,0
325,지안,함정,20213127,0
326,유승호,조선마술사,10053782,0
327,고아라,조선마술사,10001669,0
328,오지호,연애의 맛,10050782,0
329,강예원,연애의 맛,20066563,0
330,이병헌,내부자들: 디 오리지널,10055626,22
331,조승우,내부자들: 디 오리지널,10066380,8
332,백윤식,내부자들: 디 오리지널,10030351,5
333,임수정,은밀한 유혹,10058646,5
334,유연석,은밀한 유혹,20111976,0
335,류승범,나의 절친 악당들,10019067,4
336,고준희,나의 절친 악당들,10001765,0
337,류현경,나의 절친 악당들,10019138,1
338,샘 오취리,나의 절친 악당들,20210387,0
339,김성균,퇴마: 무녀굴,20127194,5
340,유선,퇴마: 무녀굴,10053708,0
341,천호진,퇴마: 무녀굴,10071900,0
342,차예련,퇴마: 무녀굴,10071147,0
343,김혜성,퇴마: 무녀굴,10006379,0
344,임화영,퇴마: 무녀굴,10058941,0
345,이광수,돌연변이,20111692,0
346,이천희,돌연변이,10057706,0
347,박보영,돌연변이,10028667,11
348,김동욱,쓰리 썸머 나잇,10003967,4
349,임원희,쓰리 썸머 나잇,10058708,0
350,손호준,쓰리 썸머 나잇,10036963,0
351,윤제문,쓰리 썸머 나잇,10054493,0
352,류현경,쓰리 썸머 나잇,10019138,1
353,지진희,미안해 사랑해 고마워,10070224,0
354,김성균,미안해 사랑해 고마워,20127194,5
355,성유리,미안해 사랑해 고마워,10035868,0
356,김영철,미안해 사랑해 고마워,10005030,1
357,이계인,미안해 사랑해 고마워,10054786,0
358,곽지혜,미안해 사랑해 고마워,20215426,0
359,성동일,비밀,10035832,1
360,손호준,비밀,10036963,0
361,김유정,비밀,10005251,0
362,김인권,약장수,10005410,1
363,박철민,약장수,20110935,3
364,이주실,약장수,10057435,0
365,송일국,타투,10037179,0
366,윤주희,타투,20110775,0
367,권현상,타투,20115762,0
368,서영,타투,10035474,0
369,김성수,검은손,10004594,0
370,한고은,검은손,10087380,0
371,공유,부산행,10001901,1
372,정유미,부산행,10062071,6
373,마동석,부산행,10021341,1
374,김수안,부산행,20153744,6
375,김의성,부산행,10005383,4
376,최우식,부산행,20174763,4
377,안소희,부산행,10043550,0
378,황정민,검사외전,10090290,16
379,강동원,검사외전,10000558,5
380,송강호,밀정,10037018,29
381,공유,밀정,10001901,1
382,하정우,터널,10087253,18
383,배두나,터널,10030016,8
384,오달수,터널,10050151,7
385,이정재,인천상륙작전,10057315,10
386,이범수,인천상륙작전,10055581,6
387,리암 니슨,인천상륙작전,10019770,0
388,진세연,인천상륙작전,20195689,0
389,유해진,럭키,10054128,7
390,이준,럭키,20112212,1
391,조윤희,럭키,10066791,0
392,임지연,럭키,20069387,3
393,곽도원,곡성,20127192,4
394,황정민,곡성,10090290,16
395,쿠니무라 준,곡성,10076693,0
396,천우희,곡성,20133966,7
397,김환희,곡성,20235266,1
398,손예진,덕혜옹주,10036883,19
399,박해일,덕혜옹주,10029474,7
400,이병헌,마스터,10055626,22
401,강동원,마스터,10000558,5
402,김우빈,마스터,20170901,1
403,엄지원,마스터,10047357,6
404,오달수,마스터,10050151,7
405,진경,마스터,10070393,1
406,김남길,판도라,10003788,0
407,김주현,판도라,20252489,0
408,정진영,판도라,10062279,2
409,김영애,판도라,10004995,6
410,문정희,판도라,10026802,2
411,김대명,판도라,20200886,0
412,김민희,아가씨,10004236,11
413,김태리,아가씨,20201026,7
414,하정우,아가씨,10087253,18
415,조진웅,아가씨,10067353,6
416,박지희,귀향,20248770,0
417,강하나,귀향,20231367,0
418,서미지,귀향,20231586,1
419,홍세나,귀향,20255842,0
420,김시은,귀향,10004852,0
421,최리,귀향,20231368,2
422,정무지,귀향,20281189,0
423,류신,귀향,20281190,0
424,임성철,귀향,20232047,0
425,이승현,귀향,20254750,0
426,남상지,귀향,20282109,0
427,조정석,형,20121022,1
428,디오,형,20209526,1
429,박신혜,형,10028892,1
430,정우성,아수라,10062025,4
431,황정민,아수라,10090290,16
432,주지훈,아수라,10069179,1
433,곽도원,아수라,20127192,4
434,김혜수,굿바이 싱글,10006380,13
435,마동석,굿바이 싱글,10021341,1
436,김현수,굿바이 싱글,20129449,0
437,유승호,봉이 김선달,10053782,0
438,조재현,봉이 김선달,10066929,4
439,고창석,봉이 김선달,10001779,2
440,라미란,봉이 김선달,10013826,4
441,시우민,봉이 김선달,20211306,0
442,이제훈,탐정 홍길동: 사라진 마을,10057349,5
443,김성균,탐정 홍길동: 사라진 마을,20127194,5
444,김명민,특별수사: 사형수의 편지,10004060,4
445,김상호,특별수사: 사형수의 편지,10004448,1
446,성동일,특별수사: 사형수의 편지,10035832,1
447,김영애,특별수사: 사형수의 편지,10004995,6
448,김향기,특별수사: 사형수의 편지,10006228,1
449,임수정,시간이탈자,10058646,5
450,조정석,시간이탈자,20121022,1
451,이진욱,시간이탈자,10057628,0
452,강하늘,동주,20111688,2
453,박정민,동주,20110693,5
454,김인우,동주,20207886,0
455,엄지원,미씽: 사라진 여자,10047357,6
456,공효진,미씽: 사라진 여자,10001919,6
457,김윤석,"당신, 거기 있어줄래요",10005276,14
458,변요한,"당신, 거기 있어줄래요",20147110,3
459,채서진,"당신, 거기 있어줄래요",20233666,0
460,임시완,오빠생각,20171222,2
461,고아성,오빠생각,10001670,2
462,강예원,"날, 보러와요",20066563,0
463,이상윤,"날, 보러와요",20177460,0
464,최진호,"날, 보러와요",20134082,0
465,차승원,"고산자, 대동여지도",10071140,3
466,유준상,"고산자, 대동여지도",10053981,1
467,이미연,좋아해줘,20111397,8
468,최지우,좋아해줘,10072767,3
469,김주혁,좋아해줘,10005749,2
470,유아인,좋아해줘,10053802,4
471,강하늘,좋아해줘,20111688,2
472,이솜,좋아해줘,20110323,1
473,유지태,스플릿,10054008,1
474,이정현,스플릿,10057329,5
475,이다윗,스플릿,10055073,0
476,정성화,스플릿,10061861,0
477,수애,국가대표 2,10037539,9
478,오달수,국가대표 2,10050151,7
479,오연서,국가대표 2,10050563,0
480,문채원,그날의 분위기,10026825,2
481,유연석,그날의 분위기,20111976,0
482,안성기,사냥,10043371,21
483,조진웅,사냥,10067353,6
484,한예리,사냥,20090447,2
485,권율,사냥,20175963,0
486,심은경,널 기다리며,10040874,5
487,윤제문,널 기다리며,10054493,0
488,김성오,널 기다리며,20111894,0
489,강동원,가려진 시간,10000558,5
490,신은수,가려진 시간,20217766,0
491,이효제,가려진 시간,20217767,0
492,한효주,해어화,10087820,4
493,유연석,해어화,20111976,0
494,천우희,해어화,20133966,7
495,박성웅,해어화,10028773,0
496,윤여정,계춘할망,10054391,13
497,김고은,계춘할망,20125838,5
498,이성민,"로봇, 소리",20110148,1
499,이희준,"로봇, 소리",10058320,2
500,이하늬,"로봇, 소리",20125825,0
501,김원해,"로봇, 소리",20189746,0
502,채수빈,"로봇, 소리",20210306,0
503,심은경,"로봇, 소리",10040874,5
504,류덕환,위대한 소원,10019043,2
505,김동영,위대한 소원,10003953,0
506,안재홍,위대한 소원,10043631,2
507,전노민,위대한 소원,20111717,0
508,전미선,위대한 소원,10061272,0
509,류덕환,혼숨,10019043,2
510,조복래,혼숨,20203246,0
511,손예진,비밀은 없다,10036883,19
512,김주혁,비밀은 없다,10005749,2
513,디오,순정,20209526,1
