directors,movieNm,peopleCd,prizecount
류승완,군함도,10019069,47
김주환,청년경찰,20112387,3
한재림,더 킹,10087712,30
장창원,꾼,20148100,0
양우석,강철비,20167784,28
황동혁,남한산성,10090050,27
김현석,아이 캔 스피크,10006261,25
나현,프리즌,10007424,3
원신연,살인자의 기억법,20111284,10
김형주,보안관,20131894,0
박광현,조작된 도시,10028469,7
김태윤,재심,10006129,0
이준익,박열,10057485,97
장준환,1987,10060507,31
이창재,노무현입니다,10057682,0
문현성,임금님의 사건수첩,20125803,1
장유정,부라더,20110174,0
장항준,기억의 밤,10060606,2
박훈정,브이아이피,10029578,11
박인제,특별시민,20110676,0
허정,장산범,20169260,2
정병길,악녀,10061761,10
이수연,해빙,10056147,2
조선호,하루,20131018,1
변성현,불한당: 나쁜 놈들의 세상,10031356,10
정윤철,대립군,10062089,18
김형협,아빠는 딸,20230906,0
정지우,침묵,10062256,19
이사랑,리얼,20254349,0
김홍선,반드시 잡는다,20125826,1
양경모,원라인,20182346,1
김봉한,보통사람,10004369,1
이원태,대장 김창수,20131414,0
정식,석조저택 살인사건,10061563,4
이주영,싱글라이더,20232106,0
이용승,7호실,20112022,5
곽경택,희생부활자,10001931,15
이안규,미옥,10056570,1
이윤기,어느날,10056949,9
조영준,채비,20153388,0
김덕수,비정규직 특수요원,10003883,0
이덕희,로마의 휴일,20111036,0
임대웅,시간위의 집,10058504,0
김준성,루시드 드림,20122844,1
마대윤,"그래, 가족",10021332,0
김홍선,역모-반란의 시대,20283069,0
김성욱,이웃집 스타,10004610,0
송창용,구세주: 리턴즈,10037252,0
김용화,신과함께-인과 연,10005151,38
김광식,안시성,10003620,2
이재규,완벽한 타인,20111735,0
이해영,독전,10058049,13
윤종빈,공작,10054495,24
김태균,암수살인,10006086,0
박훈정,마녀,10029578,11
이언희,탐정: 리턴즈,10056602,4
이석근,너의 결혼식,10055945,0
정범식,곤지암,10061758,5
이장훈,지금 만나러 갑니다,20280830,0
조규장,목격자,10065265,0
김석윤,조선명탐정: 흡혈괴마의 비밀,10004484,1
최국희,국가부도의 날,10072117,0
박희곤,명당,10029586,0
이종석,협상,20114792,0
김성훈,창궐,20128773,3
김민호,성난황소,20304809,0
임순례,리틀 포레스트,10058650,15
노동석,골든슬럼버,10007941,0
홍창표,궁합,10089901,0
이창희,사라진 밤,20166555,0
이병헌,바람 바람 바람,20125862,2
김용완,챔피언,20164846,1
연상호,염력,10049814,18
김지운,인랑,10005852,37
김대웅,레슬러,20287367,0
변혁,상류사회,10031397,0
허종호,물괴,10088447,2
이지원,미쓰백,10057572,1
이창동,버닝,10057659,69
추창민,7년의 밤,10072983,14
이준익,변산,10057485,97
임진순,동네사람들,10058831,0
조원희,원더풀 고스트,10066770,0
조근현,흥부: 글로 세상을 바꾼 자,10065272,9
이권,도어락,10054870,0
민규동,허스토리,10027774,8
방수인,덕구,20302149,0
박준수,번 더 스테이지: 더 무비,20311772,0
김제영,치즈인더트랩,10005652,0
최상훈,속닥속닥,10072304,0
이한욱,나를 기억해,20178069,0
이해영,독전: 익스텐디드 컷,10058049,13
신재호,게이트,20111176,0
이경섭,여중생A,20113175,0
유영선,여곡성,20157236,0
김지열,번개맨과 신비의 섬,20302509,0
허준형,머니백,20238387,0
고경민,데자뷰,20283049,0
이성재,비밥바룰라,20289230,0
박진영,배반의 장미,20305089,0
김정환,해피 투게더,20309609,0
강유선,번개맨의 비밀,20311974,0
