,0
71,"은서+토끼머리띠
HQ : https://youtu.be/YxZZm5AbOrk 
극한직업 민지띠....?

190113 #목동방송회관 #코바코홀
#우주소녀 #은서
#우주소녀_LALALOVE #목동팬싸 
#팬싸인회 #FanMeeting 
#WJSN #eunseo
#WJ_STAY #LALALOVE"
72,극한직업 17세..
73,"극한직업 영화 보고왓서요 끝나고나니 2시 반이 넘엇내 
여러분 극한직업 꼭보세요 개꿀잼임 ㅠㅠㅠㅠ진짜 영화보면서 계속 웃은건 몇년만인지 몰겟음 ㅠㅠㅋ ㅋ ㅋㅋㅋ ㅋ pic.twitter.com/GDm4N7fgT8"
74,"#봇의_봇_친구를_만나보자
#봇의_봇_친구들을_만나보자 

"" 야. 오늘 맥주 딸 사람 없어서 얼마나 힘들었는 줄 알아? ""

| 극한직업(2019) - 장 형사 비공식 수동봇

초록, 빨강. 아무거나 눌러. 흔적은 따름으로 찾아간다. pic.twitter.com/dWL8S0EbOl"
75,일 제대로 안하세요? 거의 이건 뭐 극한직업인데요? 덜 파여서 사복 못 입고 팬싸에서 전화번호 물어보는 포잇 안가져가고 뭐하셨나요ㅎㅎ pic.twitter.com/KK3DA4IsZE
76,오늘 난 극한직업을 보고왔고 이무배와 장실장에게 치여왔다. 내 인생은 정말 왜 이렇게 극한직업일까^.^.....젠ㄴ장.... pic.twitter.com/NAtZsy7QVw
77,"대한민국은 니가 먹으라고.

:: 극한직업, 이무배 "
78,"234만원. 오늘 하루 매출액이야. 과연 내가 몇 개의 테이블을 세팅하고 치웠을 거 같니?

| 극한직업(2019) - 장 형사 비공식 수동봇 pic.twitter.com/p6tvpuslaA"
79,"넌 왜 그렇게 말을 무섭게 하냐, 시발.

:: 극한직업. 이무배 비공식 수동봇 "
80,"190126 노량진 팬싸 프리뷰

극한직업: 민찬 홈

#베리베리 #VERIVERY #VERI_US #불러줘
#민찬 #홍민찬 #MINCHAN"
