name,moviename,peopleCd,수상횟수,totalpeople
유해진,택시운전사,10054128,7,10
유해진,공조,10054128,7,10
유해진,1987,10054128,7,10
유해진,완벽한 타인,10054128,7,10
유해진,레슬러,10054128,7,10
전지현,암살,10061467,6,3
이병헌,내부자들,10055626,22,6
이병헌,"협녀, 칼의 기억",10055626,22,6
이병헌,내부자들: 디 오리지널,10055626,22,6
이병헌,마스터,10055626,22,6
이병헌,남한산성,10055626,22,6
이병헌,싱글라이더,10055626,22,6
조승우,내부자들,10066380,8,5
조승우,내부자들: 디 오리지널,10066380,8,5
조승우,명당,10066380,8,5
백윤식,내부자들,10030351,5,4
백윤식,내부자들: 디 오리지널,10030351,5,4
백윤식,반드시 잡는다,10030351,5,4
백윤식,명당,10030351,5,4
송강호,사도,10037018,29,11
송강호,밀정,10037018,29,11
송강호,택시운전사,10037018,29,11
문근영,사도,10026674,6,1
김무열,연평해전,10004099,0,2
김무열,기억의 밤,10004099,0,2
김무열,대립군,10004099,0,2
김무열,인랑,10004099,0,2
김무열,머니백,10004099,0,2
진구,연평해전,10070417,3,2
진구,쎄시봉,10070417,3,2
진구,원라인,10070417,3,2
이현우,연평해전,20111526,1,2
이현우,뷰티 인사이드,20111526,1,2
정우,히말라야,10062023,0,1
정우,쎄시봉,10062023,0,1
정우,재심,10062023,0,1
정우,흥부: 글로 세상을 바꾼 자,10062023,0,1
준호,스물,20067653,0,1
손현주,악의 연대기,20111125,1,2
손현주,더 폰,20111125,1,2
손현주,보통사람,20111125,1,2
마동석,악의 연대기,10021341,1,5
마동석,함정,10021341,1,5
마동석,부산행,10021341,1,5
마동석,굿바이 싱글,10021341,1,5
마동석,두 남자,10021341,1,5
마동석,신과함께-죄와 벌,10021341,1,5
마동석,범죄도시,10021341,1,5
마동석,부라더,10021341,1,5
마동석,신과함께-인과 연,10021341,1,5
마동석,성난황소,10021341,1,5
마동석,챔피언,10021341,1,5
마동석,동네사람들,10021341,1,5
마동석,원더풀 고스트,10021341,1,5
박서준,악의 연대기,20211007,3,1
박서준,뷰티 인사이드,20211007,3,1
박서준,청년경찰,20211007,3,1
한효주,뷰티 인사이드,10087820,4,2
한효주,쎄시봉,10087820,4,2
한효주,해어화,10087820,4,2
한효주,골든슬럼버,10087820,4,2
한효주,인랑,10087820,4,2
김대명,뷰티 인사이드,20200886,0,3
김대명,판도라,20200886,0,3
김대명,해빙,20200886,0,3
김대명,골든슬럼버,20200886,0,3
도지한,뷰티 인사이드,20128252,0,1
배성우,뷰티 인사이드,20136191,1,4
배성우,더 폰,20136191,1,4
배성우,더 킹,20136191,1,4
배성우,꾼,20136191,1,4
천우희,뷰티 인사이드,20133966,7,2
천우희,손님,20133966,7,2
천우희,곡성,20133966,7,2
천우희,해어화,20133966,7,2
천우희,어느날,20133966,7,2
김희원,뷰티 인사이드,10006545,2,1
김희원,나를 기억해,10006545,2,1
김주혁,뷰티 인사이드,10005749,2,2
김주혁,좋아해줘,10005749,2,2
김주혁,비밀은 없다,10005749,2,2
김주혁,공조,10005749,2,2
김주혁,석조저택 살인사건,10005749,2,2
김주혁,독전,10005749,2,2
김주혁,흥부: 글로 세상을 바꾼 자,10005749,2,2
김주혁,독전: 익스텐디드 컷,10005749,2,2
문채원,오늘의 연애,10026825,2,1
문채원,그날의 분위기,10026825,2,1
문채원,명당,10026825,2,1
이서진,오늘의 연애,20111474,0,1
이서진,완벽한 타인,20111474,0,1
조복래,쎄시봉,20203246,0,1
조복래,혼숨,20203246,0,1
엄지원,더 폰,10047357,6,2
엄지원,경성학교: 사라진 소녀들,10047357,6,2
엄지원,마스터,10047357,6,2
엄지원,미씽: 사라진 여자,10047357,6,2
김혜수,차이나타운,10006380,13,3
김혜수,굿바이 싱글,10006380,13,3
김혜수,미옥,10006380,13,3
김혜수,국가부도의 날,10006380,13,3
엄태구,차이나타운,20111842,2,2
임원희,성난 변호사,10058708,0,2
임원희,쓰리 썸머 나잇,10058708,0,2
임원희,머니백,10058708,0,2
김수미,헬머니,10004748,3,1
정만식,헬머니,10061699,0,3
정만식,"그래, 가족",10061699,0,3
김정태,헬머니,10005617,0,1
진세연,위험한 상견례 2,20195689,0,1
진세연,인천상륙작전,20195689,0,1
진세연,인천상륙작전 : 익스텐디드 에디션(확장판),20195689,0,1
신정근,위험한 상견례 2,10040580,0,3
박소담,경성학교: 사라진 소녀들,20209686,8,3
박병은,극적인 하룻밤,10028660,0,2
박병은,원라인,10028660,0,2
박효주,극적인 하룻밤,10029573,0,2
임수정,은밀한 유혹,10058646,5,2
임수정,시간이탈자,10058646,5,2
류승범,나의 절친 악당들,10019067,4,1
유선,퇴마: 무녀굴,10053708,0,1
김동욱,쓰리 썸머 나잇,10003967,4,3
김동욱,신과함께-죄와 벌,10003967,4,3
김동욱,신과함께-인과 연,10003967,4,3
윤제문,쓰리 썸머 나잇,10054493,0,3
윤제문,널 기다리며,10054493,0,3
윤제문,대배우,10054493,0,3
윤제문,아빠는 딸,10054493,0,3
이주실,약장수,10057435,0,3
권현상,타투,20115762,0,1
공유,부산행,10001901,1,2
공유,밀정,10001901,1,2
공유,남과 여,10001901,1,2
김수안,부산행,20153744,6,4
김수안,군함도,20153744,6,4
김의성,부산행,10005383,4,6
김의성,골든슬럼버,10005383,4,6
최우식,부산행,20174763,4,2
최우식,마녀,20174763,4,2
최우식,물괴,20174763,4,2
안소희,부산행,10043550,0,1
안소희,싱글라이더,10043550,0,1
배두나,터널,10030016,8,2
리암 니슨,인천상륙작전,10019770,0,1
리암 니슨,인천상륙작전 : 익스텐디드 에디션(확장판),10019770,0,1
이준,럭키,20112212,1,1
쿠니무라 준,곡성,10076693,0,1
김환희,곡성,20235266,1,1
김환희,여중생A,20235266,1,1
진경,마스터,10070393,1,4
진경,목격자,10070393,1,4
김태리,아가씨,20201026,7,1
김태리,1987,20201026,7,1
김태리,리틀 포레스트,20201026,7,1
김시은,귀향,10004852,0,2
디오,형,20209526,1,2
디오,순정,20209526,1,2
디오,7호실,20209526,1,2
라미란,봉이 김선달,10013826,4,4
라미란,특별시민,10013826,4,4
박정민,동주,20110693,5,1
박정민,무서운 이야기 3 : 화성에서 온 소녀,20110693,5,1
박정민,변산,20110693,5,1
김인우,동주,20207886,0,2
김인우,박열,20207886,0,2
변요한,"당신, 거기 있어줄래요",20147110,3,1
변요한,하루,20147110,3,1
임시완,오빠생각,20171222,2,1
임시완,불한당: 나쁜 놈들의 세상,20171222,2,1
임시완,원라인,20171222,2,1
최진호,"날, 보러와요",20134082,0,4
이정현,스플릿,10057329,5,2
이정현,군함도,10057329,5,2
이다윗,스플릿,10055073,0,2
이다윗,순정,10055073,0,2
정성화,스플릿,10061861,0,1
권율,사냥,20175963,0,1
권율,챔피언,20175963,0,1
김성오,널 기다리며,20111894,0,2
김성오,도어락,20111894,0,2
이효제,가려진 시간,20217767,0,1
김원해,"로봇, 소리",20189746,0,6
류덕환,위대한 소원,10019043,2,1
류덕환,혼숨,10019043,2,1
전미선,위대한 소원,10061272,0,1
김소현,순정,20114653,0,1
박해준,순정,20161741,0,1
박해준,독전,20161741,0,1
박해준,독전: 익스텐디드 컷,20161741,0,1
박용우,순정,10028989,1,1
이대연,순정,10055086,0,2
박희순,올레,10029595,6,1
박희순,남한산성,10029595,6,1
박희순,1987,10029595,6,1
박희순,브이아이피,10029595,6,1
박희순,마녀,10029595,6,1
박희순,머니백,10029595,6,1
김태훈,트릭,10006155,0,2
토마스 크레취만,택시운전사,10080533,0,1
류준열,택시운전사,20208626,3,3
류준열,더 킹,20208626,3,3
류준열,침묵,20208626,3,3
류준열,독전,20208626,3,3
류준열,리틀 포레스트,20208626,3,3
류준열,독전: 익스텐디드 컷,20208626,3,3
소지섭,군함도,10036685,5,1
소지섭,지금 만나러 갑니다,10036685,5,1
송중기,군함도,10037229,0,2
조인성,더 킹,10066899,3,2
조인성,안시성,10066899,3,2
김아중,더 킹,10004885,7,2
설현,살인자의 기억법,20215606,1,1
김해숙,재심,10006221,8,4
김해숙,희생부활자,10006221,8,4
김해숙,허스토리,10006221,8,4
이동휘,부라더,20186095,0,4
박혁권,장산범,10029480,0,2
김서형,악녀,10004466,0,1
유재명,하루,20152117,0,3
유재명,명당,20152117,0,3
김수현,리얼,20125794,3,3
공형진,로마의 휴일,10001915,0,2
정상훈,로마의 휴일,20157462,0,1
정상훈,게이트,20157462,0,1
정상훈,배반의 장미,20157462,0,1
이요원,"그래, 가족",10056792,3,1
정준원,"그래, 가족",20189362,0,2
진지희,이웃집 스타,10070678,0,1
남주혁,안시성,20279929,0,1
김지수,완벽한 타인,10005820,2,1
송하윤,완벽한 타인,10004264,0,1
윤경호,완벽한 타인,20277349,0,1
박성훈,곤지암,20301589,0,1
허준호,국가부도의 날,10088453,2,1
조우진,국가부도의 날,20134255,0,2
이엘,바람 바람 바람,20163035,0,2
김예원,도어락,10004866,0,1
정지훈,덕구,20235446,0,1
박기웅,치즈인더트랩,10028507,0,2
유인영,치즈인더트랩,10053902,1,1
서영희,여곡성,10035492,4,1
박인환,비밥바룰라,10029093,0,1
