"points" "reviews"
"133" "10" "관람객진짜 뜬금없이 터져서 너무 재밌게 보고왔어여 !!!!ㅋㅋㅋㅋ  "
"134" "10" "아무생각없이 그냥 웃으면서 보기 정말 좋은 영화임연기 구멍도 없고 모든 배우님들이 연기를 잘하셔서 몰입도도 최고!  "
"135" "9" "관람객웃음 천국 재미있고 스트레스한방에훅  "
"136" "10" "관람객통닭 먹고 싶다. 너무 먹고 싶다  "
"137" "8" "관람객그냥 무난하게 볼만합니다.  "
"138" "4" "기대를 버려라 의외로 노잼구간이 많다  "
"139" "10" "어제 뒤늦은 관람했는데 욱겨죽는줄~오늘 재관람 갑니다용ㅎ  "
"140" "7" "관람객그냥 재미만 있어요.오략영화  "
"141" "10" "류승룡을위한 진선규에 의한 공명다시보고 이하늬가 이쁜영화  "
"142" "7" "중간에 피식피식 웃었지만 큰 웃음은 없었다. 경쟁작이 없었나? 천만 넘길 정도인지는??? 배우들이 살렸다!!!  "
"143" "10" "아무 생각없이보다 0.1초만에 빵터지는 장면이 수도 없이 많은 영화  "
"144" "10" "진짜 운좋은 영화인것 같습니다 그래도 코미디요소인 풍자개그 나쁘지 않았습니다  "
"145" "10" "역대급  처음댓글남김. 역대급 영화  "
"146" "2" "배우들이 살린거 같아요. 아무생각없이 보는 코미디 영화. 제가 보기엔 엄청 유치한데 좀 웃긴정도 였슴다.  "
"147" "10" "관람객재밌게 봤습니다. ^^  "
"148" "10" "관람객배우분들 조합 의외라고 생각했는데 케미가 왜 이렇게 좋죠ㅠㅠ  "
"149" "1" "ㄹㅇ억지웃음 쥐어짜기 ㅋㅋ 근데 재미 없을 수도 있지 비공감은 왜 누름? 무조건 남들도 본인이랑 같은 생각이어야 함?  "
"150" "2" "이런영화가 천만 ㅋㅋㅋ ㅡ  "
"151" "8" "관람객간만에 한국영화를 봤는데 정말 재미있게버ㅏㅆ습니다.  "
"152" "7" "부담없고 유쾌하다. 치킨집 대소동이라고 해도 될듯. 대사가 착 감기고 서부극과 영웅본색 ost가 감각적이고 잘어울린다. 아무튼 운도 실력이지만극한직업이 1천만 영화가 된 것은 무주공산의 시기에 상영한 대진운이 좋다고 봐야할것 같다;  "
"153" "1" "코드를 떠나 아닌 건 아닌 거다 시간 아까웠다  "
"154" "8" "진짜 이해할 수가 없네..뺑반 개봉날 보고 다음날 이거 봤는데 뺑반이 더 재밌었음. 근데 뺑반은 겁나 욕먹더니 망했고 극한직업은 1500만 찍게 생겼네 ㄷㄷ내가 특이취향인가; 얘도 재밌게 보긴했는데 그냥 전형적인 코미디물에 억지웃음 쥐어짜는게 심했음.  "
"155" "7" "중간정도인듯재밌단 소문듣고 천만관객수 넘어서 기대했는데 생각보다 그냥 ..웃긴부분은 조금있어요 시기를 잘탄듯!  "
"156" "10" "여기서 평점 낮게주면서 댓글알바 타령하는놈들 다 댓글알바다ㅋㅋ심야보러가니까 한명도 여자친구랑 나빼고는 한명도없길래 둘이 영화보는 내내 남 의식안하고 깔깔거리다 왔구만  "
"157" "2" "그냥 평범한영화입니다.  "
"158" "8" "재밌습니다. 그러나 평점 9점이 넘을 정도의 영화는 아닌거 같습니다.  "
"159" "10" "관람객재밌었음ㅎㅎ웃기고ㅎㅎ  "
"160" "10" "관람객친구랑 처음부터 끝까지 엄청 웃었어요ㅎㅎㅎ 배우들 모두 연기를 잘해서 흐름  끊기지 않고 잘 봤어요.  "
"161" "10" "진짜 무릎치면서 숨 못쉬게 웃었어요 ㅋㅋ 한명한명 캐릭타가 다 재밌는 영화  "
"162" "7" "관람객재밌었다 생각보다도 좀더 비현실적인 부분이 섞여있어서(애니같은느낌의..) 약간의 위화감? 같은게 들긴했지만 어쨋든 기분좋게 영화관을 나오게해주는 영화였다  "
"163" "10" "호쾌한 절정을 위한  진부한 코믹으로 버텨낸 재밌는 전개, 그로 인한 극한의 절정과 결말을 잡은 웰메이드 코믹물.  "
"164" "10" "영화관에서봤는데 너무 제미있네요 웃기고~ 다시보고싶네용^^  "
"165" "10" "관람객좋은 코미디영화엿당ㅎㅎ  "
"166" "1" "최악의 영화임니다.~~  "
"167" "8" "원래  무거운 영화 보면  여운이 너무 심해서 마음 고생을 많이 하는데, 이 영화는  가볍게 볼 수 있어서 너무 좋았다,, 억지  감동도 없고 연기파 배우들만 있으셔서 너무 좋았당,, 소재도 신선하고 좋았음, , 진지한거 좋아하시는 분들에게 비추  "
"168" "10" "얼마나 웃었는지!! 꿀꿀한 기분 영화로 타파해서 너무 행복했어요.  "
"169" "10" "이영화는 진짜 미쳤다. 뻔했지만 다알고있지만 그리될껄알지만 웃으며 보고 있었다. 킬링타임용으론 정말 손색없는 영화였다.  "
"170" "10" "관람객잼나게 잘봤어요~~~  "
"171" "10" "난 돈내고 두번봄 또보고싶어서  "
