,0
47,극한 직업?? 잼낫어!! 오랜만에 영화 보고 웃엇다
48,영화 극한직업 보고왓ㅅ어요!! 그냥 웃긴 영화..
49,"우리 설콘 오늘 개봉?
씨쥡가니 없던데?ㅜㅜ
그래서 극한직업본건데ㅜㅜ
영화시작전 광고 나올때 #국민은행
광고 나왔는데 나는 부끄러워서 몰래봤는데 옆 좌석 커플 중 여자가 겁나 잘생겼네 그래서 뿌듯 움찔함
그거에 남친이 삐쳤는지 자기가 더 잘생겼다 그러길래 동생에게 말하는척 아니 라고함"
50,심야영화 진짜 오랜만이당ㅠㅜㅠㅠ 저 극한직업 보러가요!!
51,"영화 개봉작 선호도 

1.가버나움
2.로마
3.스윙키즈
4.언더독
5.우행록: 어리석은 자의 기록
6.극한 직업 
7.레토
8.그린 북
9.일일시호일
10.리지
11.얼굴들
12.글래스"
52,아침부터 영화보러 왓서용^~^ >>극한직업<< 보러왓슴다
53,"영등포 대휘관에서 극한직업 보기!
대휘관 꾸며진 사진들 내가 특히 좋아하는 날만 쏙쏙! 정말 행복했습니다ㅠㅠ
영화보는 사람들이 완전 많았어요!들어가시면서 어? 대휘잖아 대휘 하시는데 내가 괜히 뿌듯해가지구.. o((*^▽^*))o
다들 이대휘관 오셔서 천국을 맛보세요
@leedaehwi_gall pic.twitter.com/iMAz7rWu9E"
54,헐 ㅁㅊ 극한직업이 영화였음? 나 지금까지 사람들 다 다큐 극한직업 보는 줄 알고 나 문찐인 거 자각했는데 진짜 그 이상의 문찐이였음
55,"극한직업 봅니다
영화시작한당"
56,"극한직업 영화 보고왓서요 끝나고나니 2시 반이 넘엇내 
여러분 극한직업 꼭보세요 개꿀잼임 ㅠㅠㅠㅠ진짜 영화보면서 계속 웃은건 몇년만인지 몰겟음 ㅠㅠㅋ ㅋ ㅋㅋㅋ ㅋ pic.twitter.com/GDm4N7fgT8"
57,극한직업 보고 왔는데 너무 재밌다 ㅋㅋㅋㅋㅋㅋㅋ 진짜 원래 영화 보고 갈 때 기대 1도 안하고 가는데 이건 예고부터 재밌어서 좀 기대하고 갔거든요 근데 짱재밌네 ㅋㅋㅋㅋㅋ 기대하고 가서 그 기대치에 맞는 영화를 보는건 진짜 오랜만인듯 완전 재밌은 짱짱추천
58,"... 뜬금 없지만, 극한직업 보세요 ...

엉엉 캐릭터들 하나 하나 다 사랑 ㅠㅠ..
코미디 영화 보고, 하루 행복 하려다가 배우님들한테 빠져서 영업해요 pic.twitter.com/dPrYXxAMTF"
59,"도영: 도다제에 걸맞는지는 모르겠지만, 저희 형이 영화를 개봉했거든요 (재현: 축하드려요) 극한직업이라고~ 제가 봤을때 잘 될것같아요 ㅋㅋ 저도 너무 보고싶었는데 콘서트 준비때문에 바빠서 서울콘이 끝나면 바로 보러갈거예요 예매권 준대요 필요하시는분들 얘기하세요 저한테 ^^"
60,"도, 저희 형이 영화를 개봉햇거든요 극한직업이라고. 제가 봤을 때 잘될 거 같아요 ^^  

형이 예매권 준댓다고 필요한 사람 말하래 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
61,여러분 저는 왜 오늘도 여기일까요 나는 분명히 럽셀영화 내일보는데...극한직업 영화 보러옴~~ pic.twitter.com/dlUEU486rk
62,"공명님... 진짜 잘생기셨다 아니 사실 그냥 귀염상인절 알았는데 잘생기셨어ㅠㅠ 영화에서 너무 ㅋㅋㅋ철없다해야하나 귀엽고 웃기고 ㅋㅋㅋㅋㅋㅋㅋ 동휘오빠가 자기소개하고 마이크 넘겨서 대사쳐주는데 쌍으로 귀엽고ㅠ 난리 ㅠㅠ 그리구 진짜 뽀야시다... 부러움...

#극한직업 #공명 pic.twitter.com/jTbV6Y0Uk3"
63,"진선규 배우님 귀여운 거 모르는 사람 너무 불쌍해 ㅠㅡㅜ 배우님 진짜 애교왕이라궄ㅋㅋ큐ㅠㅠㅠ 극한직업 비주얼이시다 !!!!! 영화에선 까까머리로 나오시다가 예쁘게 세팅하고 오신 머리로 보니까 잘생기셨어...

#극한직업 #진선규 pic.twitter.com/TlSURhzkYf"
64,나도 극한직업 보고싶다! 영화 건오하실분! 
65,엄마가 계속ㄱ영화 안 보러 안 갈거면 폰 뺏아간다 그러는데ㅠㅡㅜㅇㄴㅇㄴ극한직업 재밌나요?
66,옴마가 영화보고 싶다고 하는데 cgv에 극한직업밖에 없어서 보러간다.. (보기 싫어)
67,"2014 15년도와 작년, 그리고 올해 나온 영화들을 한국알탕영화들을 보면 여성의 비중이 눈에띄게 늘어났다는 생각이 든다 당장 애호박나오던 베테랑에서 장윤주 배우님이나 암살에서 전지현 배우님은 히로인이나 꽃 또는 악역 여자들과 싸우는 역할이였는데 이번 극한직업에서의 이하늬배우님은"
68,"남친님 데리고 가시는 분들 존경 
그게 가능한가요? 우린 막 경기하던데ㅋㅋ
같은 시간에 표 끊어서 아미밤상영회로 극한직업 상영관으로 각자 보고 다시 만나기로 했는데. 어우 난 옆에 앉아있으면 영화고 나발이고 암것도 못할 거 같은데 어케 같이 가시지 존경존경 
@BTS_twt pic.twitter.com/DbM9Cwt1A0"
69,"영화 극한직업 보러왔다
그런데 이벤트로 세뱃돈을 준다
( 직접열어 보기를 ) "
70,앜ㅋㅋ ㅋ ㅋ ㅋ저 극한직업 봤은데 딘짜 너무 웃기고..ㅋ쿠ㅜㅜㅜ 영화 보면서 계속 웃었어욬ㅋ쿠ㅜㅜㅜ
71,영화보러 나왔다가 말모이랑 극한직업 두 개 밖에 없어서 실패
72,"#_영화
오늘의 영화
극한직업"
73,극한직업 진짜 꼭 보세요. 생각없이 웃고나오기 너무 좋아요. 스토리야 늘 그렇지만 배우들의 캐릭터 소화력도 너무 좋고 궁합도 잘 맞아요. 영화 시작해서 끝날때까지 웃음이 멈추질 않아요ㅋㅋ 중간에 화장실 안가고 끝까지 본 거 되게 오랜만이네요ㅋㅋㅋ 완전 웃깁니다!! 강추해요!!!ㅋㅋ pic.twitter.com/8NfzmgpA6w
74,극한직업 보세요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개꿀잼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 존나 웃겨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 영화 보고 이렇게 많이 웃은 적 처음임 ㅋㅋㅋㅋㅋㅋㅋㅋ pic.twitter.com/RdKiGsUsCk
75,영화 극한직업 보러왔다
76,극한직업이라는 영화 재밌을까.. 첫인상은 절대보면안되는 영화같았는데
77,"2019.01.26 AM11:29
트위터에 발들이기
1. 김치나베 실패해서 재료 다버렸다
2. 내가 만든 크림치즈머핀 너무 맛있어
3. 이거 이렇게 하는 거 맞나..?
4. 집 치우기 귀찮다
5. 사람 만나는 거 무섭고 지치고 힘들다
6. 아이디 바꿀거야
7. 19:10 ""극한직업"" 보러 가기
8. 영화 보면서 팝콘이랑 핫도그"
78,극한직업 줄거리만 들었을땐 재밌어 보였는데 영화프로에서 좀 보니까 웃기려고 쏟아지는 대사들 못 견딜것 같은 느낌..
79,"2019년 3번째 영화 - 극한직업
@메가박스 코엑스점 "
80,극한직업 영화 진짜 재밌어요ㅜㅜ pic.twitter.com/qr2jh5ggga
81,주말아침 영화보기전에 요기하기. 둘이왔는데 왜 혼자야;; #극한직업 재밌어라 제발 #베질루르 커피 맛있다. @롯데백화점 평촌점 https://www.instagram.com/p/BtFH0O1FpOn/?utm_source=ig_twitter_share&igshid=13yb0ci4nzseg …
82,극한직업 보고 애들 영화 볼려고 벌써왔슴 
