,0
144,보랩 한국 매출이 영국 누른거 너무 웃김. 19일 마약왕 아쿠아맨 스윙키즈가 개봉했어도 어제그제 일간 순위 그 바로 다음인 4위를 굳건히 지키고 있음. 개봉한지 한달 보름이 지났는데 말이지. pic.twitter.com/ZWHQ0Lk3Vr
145,"리얼과 염력으로 길러진 젵님의 망작항마력,,,,,,마약왕이 어케깨부숴줄지궁금해집니다"
146,마약왕 씨네21 평점 떴는데 이 정도면 본 사람들의 억울함과 분노에 비해서 후하게 준 거 같네 pic.twitter.com/prqgbaWPPt
147,#마약왕 개봉 1주차 서울 지역 무대인사 일정표 https://buff.ly/2Bwn9TF 
148, 촬영할때 잠시 혼자놀기                  #마약왕 #오늘은 #토요일 #뭐할까 #남편은자는중 pic.twitter.com/np04MbkrMS
149,사랑 앞에선 아이쿠 급해서 사람을 죽여버렸어... ㅠㅠ 하는 표정이 되어벌이는 마약왕 pic.twitter.com/pfGuHvOjyx
150,마약왕 후기 : 송강호를 빛낸 100명의 배우들
151,"마약왕 배두나 때문에 참아줄 만은 하나요 ? 
배두나 못잃어 ~"
152,마약왕! 
153,마약왕에 상처 입은 마음 치유하러 왓다네 
154,마약왕 내일 볼 거지만 티켓은 미리... pic.twitter.com/RoYQ4kA4Nx
155,ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ #조정석 #마약왕 
156,"마약왕 4시 50분에 끝나서 지각 아닌줄 알았는데 화장실에서 손씻느라 눈치 못 챌 만큼 살짝 늦었습니다. 의식하고 관찰하니 정말 아무도 손을 씻지 않아 지금 너무 충격을 받았지만, 핸드워시를 리필하며 피망과토마토 열려 있습니다. http://bit.ly/2EKJMYq  pic.twitter.com/42WhZSG5Wk"
157,"마약왕 평점 안좋은거 엑소팬들이 평점 테러한거라는 개소리도 있네 ㅋㅋㅋㅋㅋㅋ 실관람객 평간데요??? 엑소팬들이 굳이 평점 낮추려고 경쟁영화 관객수를 늘려줘요?? 정말 개소리다 ㅋㅋㅋ 
그리고 영화판에서 아이돌팬 머릿수는 영향 못미치는거 아시죠 ..."
158,"마약왕 아쿠아맨 전부 보고싶던 시간대
못골라서 그린치 4d봅니다...

그린치 너모 조아 "
159,리얼 피하고 염력 피했는데 마약왕 못 피한 약현
160,그 하지 말라는 걸 자꾸 하다가 같이 일했던 옛 동료들에게 외면당하고 일거리가 떨어져서 방에 틀어박혀 잘 나갈 때의 스타일로 계속 시나리오를 쓰지만... 뭐 이런 얘기? 마약왕 보고 나오는데 그런 생각이 들었음. 하하.
161,"쇼케이스날 다들 이렇게 사진이 없지?? 12/17 마약왕 쇼케이스 김소진 배우 사진 있으신 분 .,, 많이들 좀 올려주세요 ㅠㅅㅠ pic.twitter.com/oEPEf1r33e"
162,마약왕이랑 국가부도의 날 빈자리 텅텅 남는 상영관 반만이라도 거미줄에 걸린 소녀랑 부탁 하나만 들어줘랑 스파이더맨 뉴유니버스에 나눠주면 좋겠네 ㅋㅋㅋㅋㅋㅋ 외국영화는 어벤져스나 아쿠아맨 정도 아니면 n차 뛰고싶어도 일주일이면 상영 끝나는거같음
163,마약왕 왜 보지....? 송강호가 권력 다툼 하는게 뭐가 재밌어 보인다고...?
164,"마약왕 대충 정리해 보자면 브_래이낑_배드, 파블로 에스코바르, 스카페이스를 합친 그 어디쯤에 있는 망작과 범작사이 그 무언가 라는 소리인가."
165,Knock Knock Knockin on Heaven's Door! 울영민이가 마약같은 존재죠!  딱 NO1! #MXM #임영민  #메리_영민_크리스마스 #CGV_임영민관 #마약왕 
166,"마약왕 실제모델 이황순은 영화와는 달리 각종 사회단체장을 하는 등의 대외활동은 못했다고 하는데, 그 이황순도 못한 대외활동 하는 조폭이 지금 성남에 있더라...ㅋㅋㅋㅋㅋㅋ

https://news.v.daum.net/v/20181220163600369 …"
167,'마약왕' 이틀째 박스오피스 1위…하지만 불안한 왕좌 http://issuecollector.com/%eb%a7%88%ec%95%bd%ec%99%95-%ec%9d%b4%ed%8b%80%ec%a7%b8-%eb%b0%95%ec%8a%a4%ec%98%a4%ed%94%bc%ec%8a%a4-1%ec%9c%84%ed%95%98%ec%a7%80%eb%a7%8c-%eb%b6%88%ec%95%88%ed%95%9c-%ec%99%95/ … pic.twitter.com/cBrZXbkNrn
168,"마약왕 재밌는데
마약왕 장면 장면마다 이재명과 성남 국제파 행각 대입해서 보면 딱딱 들어맞아서 ㅈㄴ 재밌음 ㅋㅋㅋㅋㅋㅋ"
169,"[종합IS] ＂왕들의 파티＂ 관객수 1위 '마약왕', 예매율 1위 '아쿠아맨' (출처 : 일간스포츠 | 네이버 TV연예) http://naver.me/54MRrKD7 "
170,영화관에서 현장구매 할 때 송강호 주세요 하는 사람들 있다는데 마약왕은 분명 송강호가 약 빠는 영화 주세요 or 약 파는 영화 주세요 하는 사람 나온다에 한 표
171,"*아쿠아맨 - 토르 2 정도 라고 한다면 나쁘진 않은거네?
*범블비 - 트랜스포머판 동화 . 아이와 함께 관람할까?
*마약왕 - 기대했었는데 송강호연기 말고 별로라고?"
172,"‘마약왕’, 이틀 연속 박스오피스 1위 차지..2위 ‘아쿠아맨’-3위 ‘스윙키즈’   / 브레이크뉴스  http://www.breaknews.com/622691 "
