,영화명,개봉일,관객수,장르,상영등급,기사수,감독수상,감독파워,배우수상,배우파워,개봉전트윗,개봉후트윗,holiday,season,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_관객수,개봉평균스크린수,개봉평균상영횟수,개봉평균관객수,배급사크기
83,내 심장을 쏴라,20150128,387409,드라마,15세 관람가,6833,0,0,4,2,79,111,1,4,8.0,21.0,3969.0,431,2194,48177,mid
84,소수의견,20150624,383582,드라마,15세 관람가,14201,7,0,8,11,127,268,0,2,31.0,71.0,16758.0,385,1777,31114,small
85,경성학교: 사라진 소녀들,20150618,356415,미스터리,15세 관람가,7048,13,3,25,7,120,228,0,2,6.0,11.0,2758.0,478,2448,64030,big
86,치외법권,20150827,346483,액션,15세 관람가,6302,0,0,3,0,68,88,1,2,8.0,27.0,5650.0,427,2018,58081,small
87,극적인 하룻밤,20151203,320884,멜로/로맨스,청소년 관람불가,7220,0,0,1,5,30,27,0,4,2.0,7.0,1362.0,406,1891,42067,mid
88,도리화가,20151125,317505,사극,12세 관람가,11834,0,0,6,4,113,178,0,3,20.0,33.0,6760.0,552,2344,41136,big
89,함정,20150910,257990,스릴러,청소년 관람불가,16927,0,0,1,5,62,87,0,3,13.0,43.0,9178.0,399,1318,45629,small
90,조선마술사,20151230,224657,드라마,12세 관람가,10861,11,0,0,0,111,174,0,4,9.0,16.0,4472.0,595,2408,121750,big
91,연애의 맛,20150507,214539,멜로/로맨스,청소년 관람불가,11278,0,0,0,0,23,237,0,1,5.0,11.0,2385.0,395,1428,26883,small
92,내부자들: 디 오리지널,20151231,160148,범죄,청소년 관람불가,3497,16,2,35,15,117,252,0,4,3.0,7.0,1082.0,751,1899,213293,big
93,은밀한 유혹,20150604,145547,멜로/로맨스,15세 관람가,6834,0,0,5,3,68,78,0,2,12.0,14.0,3366.0,390,1952,23333,big
94,나의 절친 악당들,20150625,133553,범죄,청소년 관람불가,5834,25,0,4,1,36,63,0,2,17.0,27.0,3776.0,374,1434,23924,small
95,퇴마: 무녀굴,20150820,120802,공포(호러),15세 관람가,4891,5,0,5,3,35,46,1,2,8.0,20.0,4043.0,326,910,21695,small
96,돌연변이,20151022,100523,드라마,12세 관람가,14361,0,0,11,2,76,107,0,3,8.0,26.0,4742.0,378,1064,16863,small
97,쓰리 썸머 나잇,20150715,77621,코미디,청소년 관람불가,4146,8,0,4,8,67,11,1,2,8.0,16.0,3243.0,295,884,11383,mid
98,미안해 사랑해 고마워,20151028,51207,드라마,15세 관람가,3672,1,0,5,1,22,29,0,3,9.0,14.0,3985.0,339,946,6365,big
99,비밀,20151015,50196,미스터리,15세 관람가,337082,0,0,1,7,98,151,0,3,3.0,12.0,1959.0,302,761,8970,mid
100,약장수,20150423,44214,드라마,15세 관람가,3157,1,0,4,10,20,36,0,1,6.0,14.0,3203.0,277,627,5402,small
101,타투,20151210,12102,스릴러,청소년 관람불가,5260,1,0,0,1,9,8,0,4,1.0,2.0,517.0,115,187,1971,small
102,검은손,20150416,11650,공포(호러),청소년 관람불가,10926,0,0,0,0,14,8,0,1,1.0,1.0,326.0,174,419,2035,small
103,부산행,20160720,11565479,액션,15세 관람가,38862,21,2,22,22,135,311,1,2,431.0,2698.0,565286.0,1617,9141,758287,big
104,검사외전,20160203,9707581,범죄,15세 관람가,17261,0,1,21,14,117,276,1,4,20.0,48.0,13008.0,1381,7316,534500,big
105,밀정,20160907,7500420,액션,15세 관람가,22277,37,4,30,13,119,289,0,3,24.0,93.0,18533.0,1266,5738,295076,small
106,터널,20160810,7120508,드라마,12세 관람가,40254,18,0,33,25,132,316,1,2,24.0,80.0,20854.0,864,4043,382612,big
107,인천상륙작전,20160727,7049643,전쟁,12세 관람가,22250,8,2,16,9,118,307,1,2,32.0,76.0,12711.0,915,4845,408145,big
108,럭키,20161013,6975290,코미디,15세 관람가,17297,1,1,11,13,107,254,0,3,345.0,1388.0,146036.0,975,5045,387523,big
109,곡성,20160512,6879908,미스터리,15세 관람가,27560,52,2,28,14,133,355,0,1,895.0,2176.0,176514.0,1282,5448,493687,small
110,덕혜옹주,20160803,5599229,사극,12세 관람가,17599,25,1,26,6,130,273,1,2,24.0,90.0,14943.0,790,3400,267970,big
111,마스터,20161221,4935320,액션,15세 관람가,53757,3,2,42,34,117,283,0,4,35.0,129.0,23444.0,1446,6752,385750,big
112,판도라,20161207,4313864,드라마,12세 관람가,15983,4,0,10,10,125,261,0,4,28.0,78.0,18372.0,1063,4812,176673,big
113,아가씨,20160601,4287839,스릴러,청소년 관람불가,47445,91,0,31,15,129,348,0,2,30.0,55.0,10768.0,1069,4876,287622,big
114,귀향,20160224,3587173,드라마,15세 관람가,15354,7,0,0,2,135,329,1,4,4.0,15.0,3772.0,203,351,1663,small
