,영화명,개봉일,개봉일2,개봉일7일전,개봉일7일전2,뉴스
109,곡성,2016-05-12,2016.05.12,2016-05-05,2016.05.05,1845
141,순정,2016-02-24,2016.02.24,2016-02-17,2016.02.17,1841
179,특별시민,2017-04-26,2017.04.26,2017-04-19,2017.04.19,1824
135,해어화,2016-04-13,2016.04.13,2016-04-06,2016.04.06,1811
150,목숨 건 연애,2016-12-14,2016.12.14,2016-12-07,2016.12.07,1805
232,염력,2018-01-31,2018.01.31,2018-01-24,2018.01.24,1801
128,좋아해줘,2016-02-17,2016.02.17,2016-02-10,2016.02.10,1773
47,베테랑,2015-08-05,2015.08.05,2015-07-29,2015.07.29,1763
79,순수의 시대,2015-03-05,2015.03.05,2015-02-26,2015.02.26,1763
65,차이나타운,2015-04-29,2015.04.29,2015-04-22,2015.04.22,1740
178,브이아이피,2017-08-23,2017.08.23,2017-08-16,2017.08.16,1713
198,어느날,2017-04-05,2017.04.05,2017-03-29,2017.03.29,1711
58,악의 연대기,2015-05-14,2015.05.14,2015-05-07,2015.05.07,1698
137,"로봇, 소리",2016-01-27,2016.01.27,2016-01-20,2016.01.20,1697
132,사냥,2016-06-29,2016.06.29,2016-06-22,2016.06.22,1684
82,무뢰한,2015-05-27,2015.05.27,2015-05-20,2015.05.20,1683
231,챔피언,2018-05-01,2018.05.01,2018-04-24,2018.04.24,1675
84,소수의견,2015-06-24,2015.06.24,2015-06-17,2015.06.17,1662
3,국제시장,2014-12-17,2014.12.17,2014-12-10,2014.12.10,1659
49,내부자들,2015-11-19,2015.11.19,2015-11-12,2015.11.12,1658
185,대립군,2017-05-31,2017.05.31,2017-05-24,2017.05.24,1645
203,루시드 드림,2017-02-22,2017.02.22,2017-02-15,2017.02.15,1618
169,보안관,2017-05-03,2017.05.03,2017-04-26,2017.04.26,1582
99,비밀,2015-10-15,2015.10.15,2015-10-08,2015.10.08,1578
148,올레,2016-08-25,2016.08.25,2016-08-18,2016.08.18,1574
224,창궐,2018-10-25,2018.10.25,2018-10-18,2018.10.18,1570
212,공작,2018-08-08,2018.08.08,2018-08-01,2018.08.01,1567
14,피끓는 청춘,2014-01-22,2014.01.22,2014-01-15,2014.01.15,1557
186,아빠는 딸,2017-04-12,2017.04.12,2017-04-05,2017.04.05,1546
127,"고산자, 대동여지도",2016-09-07,2016.09.07,2016-08-31,2016.08.31,1538
91,연애의 맛,2015-05-07,2015.05.07,2015-04-30,2015.04.30,1529
51,연평해전,2015-06-24,2015.06.24,2015-06-17,2015.06.17,1506
81,"협녀, 칼의 기억",2015-08-13,2015.08.13,2015-08-06,2015.08.06,1498
97,쓰리 썸머 나잇,2015-07-15,2015.07.15,2015-07-08,2015.07.08,1484
219,목격자,2018-08-15,2018.08.15,2018-08-08,2018.08.08,1472
227,골든슬럼버,2018-02-14,2018.02.14,2018-02-07,2018.02.07,1460
226,리틀 포레스트,2018-02-28,2018.02.28,2018-02-21,2018.02.21,1456
236,물괴,2018-09-12,2018.09.12,2018-09-05,2018.09.05,1435
41,아빠를 빌려드립니다,2014-11-20,2014.11.20,2014-11-13,2014.11.13,1426
121,시간이탈자,2016-04-13,2016.04.13,2016-04-06,2016.04.06,1426
95,퇴마: 무녀굴,2015-08-20,2015.08.20,2015-08-13,2015.08.13,1415
31,몬스터,2014-03-13,2014.03.13,2014-03-06,2014.03.06,1409
156,택시운전사,2017-08-02,2017.08.02,2017-07-26,2017.07.26,1399
56,극비수사,2015-06-18,2015.06.18,2015-06-11,2015.06.11,1380
74,열정같은소리하고있네,2015-11-25,2015.11.25,2015-11-18,2015.11.18,1370
200,비정규직 특수요원,2017-03-16,2017.03.16,2017-03-09,2017.03.09,1361
250,나를 기억해,2018-04-19,2018.04.19,2018-04-12,2018.04.12,1355
182,해빙,2017-03-01,2017.03.01,2017-02-22,2017.02.22,1338
191,보통사람,2017-03-23,2017.03.23,2017-03-16,2017.03.16,1325
142,남과 여,2016-02-25,2016.02.25,2016-02-18,2016.02.18,1320
177,기억의 밤,2017-11-29,2017.11.29,2017-11-22,2017.11.22,1311
34,조선미녀삼총사,2014-01-29,2014.01.29,2014-01-22,2014.01.22,1307
168,살인자의 기억법,2017-09-06,2017.09.06,2017-08-30,2017.08.30,1307
68,간신,2015-05-21,2015.05.21,2015-05-14,2015.05.14,1305
204,"그래, 가족",2017-02-15,2017.02.15,2017-02-08,2017.02.08,1305
118,봉이 김선달,2016-07-06,2016.07.06,2016-06-29,2016.06.29,1297
151,트릭,2016-07-13,2016.07.13,2016-07-06,2016.07.06,1296
157,신과함께-죄와 벌,2017-12-20,2017.12.20,2017-12-13,2017.12.13,1293
235,상류사회,2018-08-29,2018.08.29,2018-08-22,2018.08.22,1284
184,불한당: 나쁜 놈들의 세상,2017-05-17,2017.05.17,2017-05-10,2017.05.10,1265
201,로마의 휴일,2017-08-30,2017.08.30,2017-08-23,2017.08.23,1264
10,나의 사랑 나의 신부,2014-10-08,2014.10.08,2014-10-01,2014.10.01,1263
76,서부전선,2015-09-24,2015.09.24,2015-09-17,2015.09.17,1252
124,"당신, 거기 있어줄래요",2016-12-14,2016.12.14,2016-12-07,2016.12.07,1247
8,끝까지 간다,2014-05-29,2014.05.29,2014-05-22,2014.05.22,1224
195,7호실,2017-11-15,2017.11.15,2017-11-08,2017.11.08,1197
126,"날, 보러와요",2016-04-07,2016.04.07,2016-03-31,2016.03.31,1196
167,프리즌,2017-03-23,2017.03.23,2017-03-16,2017.03.16,1176
190,원라인,2017-03-29,2017.03.29,2017-03-22,2017.03.22,1172
35,마담 뺑덕,2014-10-02,2014.10.02,2014-09-25,2014.09.25,1171
192,대장 김창수,2017-10-19,2017.10.19,2017-10-12,2017.10.12,1168
206,이웃집 스타,2017-09-21,2017.09.21,2017-09-14,2017.09.14,1166
80,오피스,2015-09-03,2015.09.03,2015-08-27,2015.08.27,1155
83,내 심장을 쏴라,2015-01-28,2015.01.28,2015-01-21,2015.01.21,1149
15,두근두근 내 인생,2014-09-03,2014.09.03,2014-08-27,2014.08.27,1122
19,찌라시: 위험한 소문,2014-02-20,2014.02.20,2014-02-13,2014.02.13,1120
69,그놈이다,2015-10-28,2015.10.28,2015-10-21,2015.10.21,1118
112,판도라,2016-12-07,2016.12.07,2016-11-30,2016.11.30,1114
63,더 폰,2015-10-22,2015.10.22,2015-10-15,2015.10.15,1110
5,타짜-신의 손,2014-09-03,2014.09.03,2014-08-27,2014.08.27,1108
140,비밀은 없다,2016-06-23,2016.06.23,2016-06-16,2016.06.16,1076
134,가려진 시간,2016-11-16,2016.11.16,2016-11-09,2016.11.09,1072
257,데자뷰,2018-05-30,2018.05.30,2018-05-23,2018.05.23,1068
54,조선명탐정 : 사라진 놉의 딸,2015-02-11,2015.02.11,2015-02-04,2015.02.04,1066
225,성난황소,2018-11-22,2018.11.22,2018-11-15,2018.11.15,1057
96,돌연변이,2015-10-22,2015.10.22,2015-10-15,2015.10.15,1050
152,대결,2016-09-22,2016.09.22,2016-09-15,2016.09.15,1041
108,럭키,2016-10-13,2016.10.13,2016-10-06,2016.10.06,1035
222,명당,2018-09-19,2018.09.19,2018-09-12,2018.09.12,1026
165,남한산성,2017-10-03,2017.10.03,2017-09-26,2017.09.26,1025
213,암수살인,2018-10-03,2018.10.03,2018-09-26,2018.09.26,1020
98,미안해 사랑해 고마워,2015-10-28,2015.10.28,2015-10-21,2015.10.21,1010
77,헬머니,2015-03-05,2015.03.05,2015-02-26,2015.02.26,1008
181,악녀,2017-06-08,2017.06.08,2017-06-01,2017.06.01,996
50,사도,2015-09-16,2015.09.16,2015-09-09,2015.09.09,988
228,궁합,2018-02-28,2018.02.28,2018-02-21,2018.02.21,980
30,황제를 위하여,2014-06-11,2014.06.11,2014-06-04,2014.06.04,979
27,플랜맨,2014-01-09,2014.01.09,2014-01-02,2014.01.02,966
210,완벽한 타인,2018-10-31,2018.10.31,2018-10-24,2018.10.24,964
173,1987,2017-12-27,2017.12.27,2017-12-20,2017.12.20,950
154,히야,2016-03-10,2016.03.10,2016-03-03,2016.03.03,948
196,희생부활자,2017-10-12,2017.10.12,2017-10-05,2017.10.05,947
12,기술자들,2014-12-24,2014.12.24,2014-12-17,2014.12.17,934
155,무수단,2016-03-03,2016.03.03,2016-02-25,2016.02.25,928
85,경성학교: 사라진 소녀들,2015-06-18,2015.06.18,2015-06-11,2015.06.11,915
234,레슬러,2018-05-09,2018.05.09,2018-05-02,2018.05.02,898
75,특종: 량첸살인기,2015-10-22,2015.10.22,2015-10-15,2015.10.15,880
254,여곡성,2018-11-08,2018.11.08,2018-11-01,2018.11.01,865
166,아이 캔 스피크,2017-09-21,2017.09.21,2017-09-14,2017.09.14,854
229,사라진 밤,2018-03-07,2018.03.07,2018-02-28,2018.02.28,850
64,대호,2015-12-16,2015.12.16,2015-12-09,2015.12.09,841
11,남자가 사랑할 때,2014-01-22,2014.01.22,2014-01-15,2014.01.15,815
87,극적인 하룻밤,2015-12-03,2015.12.03,2015-11-26,2015.11.26,807
138,위대한 소원,2016-04-21,2016.04.21,2016-04-14,2016.04.14,803
237,미쓰백,2018-10-11,2018.10.11,2018-10-04,2018.10.04,799
122,동주,2016-02-17,2016.02.17,2016-02-10,2016.02.10,798
0,명량,2014-07-30,2014.07.30,2014-07-23,2014.07.23,794
119,탐정 홍길동: 사라진 마을,2016-05-04,2016.05.04,2016-04-27,2016.04.27,790
171,재심,2017-02-15,2017.02.15,2017-02-08,2017.02.08,771
130,국가대표 2,2016-08-10,2016.08.10,2016-08-03,2016.08.03,769
187,침묵,2017-11-02,2017.11.02,2017-10-26,2017.10.26,741
25,관능의 법칙,2014-02-13,2014.02.13,2014-02-06,2014.02.06,733
131,그날의 분위기,2016-01-14,2016.01.14,2016-01-07,2016.01.07,720
143,대배우,2016-03-30,2016.03.30,2016-03-23,2016.03.23,715
46,백프로,2014-04-03,2014.04.03,2014-03-27,2014.03.27,713
94,나의 절친 악당들,2015-06-25,2015.06.25,2015-06-18,2015.06.18,705
70,미쓰 와이프,2015-08-13,2015.08.13,2015-08-06,2015.08.06,698
240,변산,2018-07-04,2018.07.04,2018-06-27,2018.06.27,687
60,뷰티 인사이드,2015-08-20,2015.08.20,2015-08-13,2015.08.13,674
214,마녀,2018-06-27,2018.06.27,2018-06-20,2018.06.20,663
145,걷기왕,2016-10-20,2016.10.20,2016-10-13,2016.10.13,658
183,하루,2017-06-15,2017.06.15,2017-06-08,2017.06.08,658
221,국가부도의 날,2018-11-28,2018.11.28,2018-11-21,2018.11.21,635
172,박열,2017-06-28,2017.06.28,2017-06-21,2017.06.21,634
36,좋은 친구들,2014-07-10,2014.07.10,2014-07-03,2014.07.03,628
72,살인의뢰,2015-03-12,2015.03.12,2015-03-05,2015.03.05,626
193,석조저택 살인사건,2017-05-09,2017.05.09,2017-05-02,2017.05.02,615
189,반드시 잡는다,2017-11-29,2017.11.29,2017-11-22,2017.11.22,612
66,장수상회,2015-04-09,2015.04.09,2015-04-02,2015.04.02,611
17,해무(海霧),2014-08-13,2014.08.13,2014-08-06,2014.08.06,610
159,범죄도시,2017-10-03,2017.10.03,2017-09-26,2017.09.26,605
67,성난 변호사,2015-10-08,2015.10.08,2015-10-01,2015.10.01,603
26,상의원,2014-12-24,2014.12.24,2014-12-17,2014.12.17,597
202,시간위의 집,2017-04-05,2017.04.05,2017-03-29,2017.03.29,588
4,군도: 민란의 시대,2014-07-23,2014.07.23,2014-07-16,2014.07.16,576
1,해적: 바다로 간 산적,2014-08-06,2014.08.06,2014-07-30,2014.07.30,566
23,우리는 형제입니다,2014-10-23,2014.10.23,2014-10-16,2014.10.16,546
123,미씽: 사라진 여자,2016-11-30,2016.11.30,2016-11-23,2016.11.23,541
24,카트,2014-11-13,2014.11.13,2014-11-06,2014.11.06,520
146,엽기적인 그녀 2,2016-05-12,2016.05.12,2016-05-05,2016.05.05,515
230,바람 바람 바람,2018-04-05,2018.04.05,2018-03-29,2018.03.29,504
259,배반의 장미,2018-10-18,2018.10.18,2018-10-11,2018.10.11,497
86,치외법권,2015-08-27,2015.08.27,2015-08-20,2015.08.20,494
102,검은손,2015-04-16,2015.04.16,2015-04-09,2015.04.09,489
176,부라더,2017-11-02,2017.11.02,2017-10-26,2017.10.26,486
249,속닥속닥,2018-07-13,2018.07.13,2018-07-06,2018.07.06,485
2,수상한 그녀,2014-01-22,2014.01.22,2014-01-15,2014.01.15,484
144,무서운 이야기 3 : 화성에서 온 소녀,2016-06-01,2016.06.01,2016-05-25,2016.05.25,484
258,비밥바룰라,2018-01-24,2018.01.24,2018-01-17,2018.01.17,477
175,임금님의 사건수첩,2017-04-26,2017.04.26,2017-04-19,2017.04.19,472
216,너의 결혼식,2018-08-22,2018.08.22,2018-08-15,2018.08.15,459
220,조선명탐정: 흡혈괴마의 비밀,2018-02-08,2018.02.08,2018-02-01,2018.02.01,458
114,귀향,2016-02-24,2016.02.24,2016-02-17,2016.02.17,457
129,스플릿,2016-11-09,2016.11.09,2016-11-02,2016.11.02,454
21,슬로우 비디오,2014-10-02,2014.10.02,2014-09-25,2014.09.25,437
92,내부자들: 디 오리지널,2015-12-31,2015.12.31,2015-12-24,2015.12.24,434
9,표적,2014-04-30,2014.04.30,2014-04-23,2014.04.23,429
133,널 기다리며,2016-03-10,2016.03.10,2016-03-03,2016.03.03,429
44,터널 3D,2014-08-20,2014.08.20,2014-08-13,2014.08.13,427
241,동네사람들,2018-11-07,2018.11.07,2018-10-31,2018.10.31,427
32,또 하나의 약속,2014-02-06,2014.02.06,2014-01-30,2014.01.30,424
174,노무현입니다,2017-05-25,2017.05.25,2017-05-18,2017.05.18,423
197,미옥,2017-11-09,2017.11.09,2017-11-02,2017.11.02,420
6,역린,2014-04-30,2014.04.30,2014-04-23,2014.04.23,413
117,굿바이 싱글,2016-06-29,2016.06.29,2016-06-22,2016.06.22,412
180,장산범,2017-08-17,2017.08.17,2017-08-10,2017.08.10,411
244,도어락,2018-12-05,2018.12.05,2018-11-28,2018.11.28,410
245,허스토리,2018-06-27,2018.06.27,2018-06-20,2018.06.20,399
136,계춘할망,2016-05-19,2016.05.19,2016-05-12,2016.05.12,384
13,제보자,2014-10-02,2014.10.02,2014-09-25,2014.09.25,368
45,설계,2014-09-18,2014.09.18,2014-09-11,2014.09.11,367
215,탐정: 리턴즈,2018-06-13,2018.06.13,2018-06-06,2018.06.06,350
16,우아한 거짓말,2014-03-13,2014.03.13,2014-03-06,2014.03.06,347
89,함정,2015-09-10,2015.09.10,2015-09-03,2015.09.03,345
217,곤지암,2018-03-28,2018.03.28,2018-03-21,2018.03.21,341
149,두 남자,2016-11-30,2016.11.30,2016-11-23,2016.11.23,330
57,탐정 : 더 비기닝,2015-09-24,2015.09.24,2015-09-17,2015.09.17,297
252,게이트,2018-02-28,2018.02.28,2018-02-21,2018.02.21,279
37,나의 독재자,2014-10-30,2014.10.30,2014-10-23,2014.10.23,278
242,원더풀 고스트,2018-09-26,2018.09.26,2018-09-19,2018.09.19,274
207,구세주: 리턴즈,2017-09-14,2017.09.14,2017-09-07,2017.09.07,257
42,가시,2014-04-10,2014.04.10,2014-04-03,2014.04.03,239
120,특별수사: 사형수의 편지,2016-06-16,2016.06.16,2016-06-09,2016.06.09,239
153,인천상륙작전 : 익스텐디드 에디션(확장판),2016-09-13,2016.09.13,2016-09-06,2016.09.06,233
246,덕구,2018-04-05,2018.04.05,2018-03-29,2018.03.29,231
22,방황하는 칼날,2014-04-10,2014.04.10,2014-04-03,2014.04.03,221
33,소녀괴담,2014-07-02,2014.07.02,2014-06-25,2014.06.25,213
253,여중생A,2018-06-20,2018.06.20,2018-06-13,2018.06.13,201
199,채비,2017-11-09,2017.11.09,2017-11-02,2017.11.02,197
247,번 더 스테이지: 더 무비,2018-11-15,2018.11.15,2018-11-08,2018.11.08,183
256,머니백,2018-04-12,2018.04.12,2018-04-05,2018.04.05,162
261,번개맨의 비밀,2018-12-06,2018.12.06,2018-11-29,2018.11.29,150
139,혼숨,2016-10-26,2016.10.26,2016-10-19,2016.10.19,145
260,해피 투게더,2018-11-15,2018.11.15,2018-11-08,2018.11.08,119
100,약장수,2015-04-23,2015.04.23,2015-04-16,2015.04.16,99
43,맨홀,2014-10-08,2014.10.08,2014-10-01,2014.10.01,94
243,흥부: 글로 세상을 바꾼 자,2018-02-14,2018.02.14,2018-02-07,2018.02.07,87
147,번개맨,2016-02-11,2016.02.11,2016-02-04,2016.02.04,65
255,번개맨과 신비의 섬,2018-04-05,2018.04.05,2018-03-29,2018.03.29,56
101,타투,2015-12-10,2015.12.10,2015-12-03,2015.12.03,49
251,독전: 익스텐디드 컷,2018-07-18,2018.07.18,2018-07-11,2018.07.11,20
