,영화명,개봉일,개봉일2,개봉일7일전,개봉일7일전2,뉴스,개봉일7일후,개봉일7일후2,개봉후뉴스,
28,여곡성,2018-11-08,2018.11.08,2018-11-01,2018.11.01,865,2018-11-15,2018.11.15,333,
29,아이 캔 스피크,2017-09-21,2017.09.21,2017-09-14,2017.09.14,854,2017-09-28,2017.09.28,759,
30,사라진 밤,2018-03-07,2018.03.07,2018-02-28,2018.02.28,850,2018-03-14,2018.03.14,509,
31,대호,2015-12-16,2015.12.16,2015-12-09,2015.12.09,841,2015-12-23,2015.12.23,1058,
32,남자가 사랑할 때,2014-01-22,2014.01.22,2014-01-15,2014.01.15,815,2014-01-29,2014.01.29,470,
33,극적인 하룻밤,2015-12-03,2015.12.03,2015-11-26,2015.11.26,807,2015-12-10,2015.12.10,482,
34,위대한 소원,2016-04-21,2016.04.21,2016-04-14,2016.04.14,803,2016-04-28,2016.04.28,225,
35,미쓰백,2018-10-11,2018.10.11,2018-10-04,2018.10.04,799,2018-10-18,2018.10.18,658,
36,동주,2016-02-17,2016.02.17,2016-02-10,2016.02.10,798,2016-02-24,2016.02.24,656,
37,명량,2014-07-30,2014.07.30,2014-07-23,2014.07.23,794,2014-08-06,2014.08.06,2256,
38,탐정 홍길동: 사라진 마을,2016-05-04,2016.05.04,2016-04-27,2016.04.27,790,2016-05-11,2016.05.11,750,
39,재심,2017-02-15,2017.02.15,2017-02-08,2017.02.08,771,2017-02-22,2017.02.22,799,
40,국가대표 2,2016-08-10,2016.08.10,2016-08-03,2016.08.03,769,2016-08-17,2016.08.17,593,
41,침묵,2017-11-02,2017.11.02,2017-10-26,2017.10.26,741,2017-11-09,2017.11.09,772,
42,관능의 법칙,2014-02-13,2014.02.13,2014-02-06,2014.02.06,733,2014-02-20,2014.02.20,475,
43,그날의 분위기,2016-01-14,2016.01.14,2016-01-07,2016.01.07,720,2016-01-21,2016.01.21,625,
44,대배우,2016-03-30,2016.03.30,2016-03-23,2016.03.23,715,2016-04-06,2016.04.06,340,
45,백프로,2014-04-03,2014.04.03,2014-03-27,2014.03.27,713,2014-04-10,2014.04.10,50,
46,나의 절친 악당들,2015-06-25,2015.06.25,2015-06-18,2015.06.18,705,2015-07-02,2015.07.02,310,
47,미쓰 와이프,2015-08-13,2015.08.13,2015-08-06,2015.08.06,698,2015-08-20,2015.08.20,273,
48,변산,2018-07-04,2018.07.04,2018-06-27,2018.06.27,687,2018-07-11,2018.07.11,632,
49,뷰티 인사이드,2015-08-20,2015.08.20,2015-08-13,2015.08.13,674,2015-08-27,2015.08.27,687,
50,마녀,2018-06-27,2018.06.27,2018-06-20,2018.06.20,663,2018-07-04,2018.07.04,981,
51,하루,2017-06-15,2017.06.15,2017-06-08,2017.06.08,658,2017-06-22,2017.06.22,328,
52,걷기왕,2016-10-20,2016.10.20,2016-10-13,2016.10.13,658,2016-10-27,2016.10.27,268,
53,국가부도의 날,2018-11-28,2018.11.28,2018-11-21,2018.11.21,635,2018-12-05,2018.12.05,1275,
54,박열,2017-06-28,2017.06.28,2017-06-21,2017.06.21,634,2017-07-05,2017.07.05,1003,
55,좋은 친구들,2014-07-10,2014.07.10,2014-07-03,2014.07.03,628,2014-07-17,2014.07.17,315,
56,살인의뢰,2015-03-12,2015.03.12,2015-03-05,2015.03.05,626,2015-03-19,2015.03.19,517,
57,석조저택 살인사건,2017-05-09,2017.05.09,2017-05-02,2017.05.02,615,2017-05-16,2017.05.16,332,
58,반드시 잡는다,2017-11-29,2017.11.29,2017-11-22,2017.11.22,612,2017-12-06,2017.12.06,308,
59,장수상회,2015-04-09,2015.04.09,2015-04-02,2015.04.02,611,2015-04-16,2015.04.16,563,
60,해무(海霧),2014-08-13,2014.08.13,2014-08-06,2014.08.06,610,2014-08-20,2014.08.20,918,
61,범죄도시,2017-10-03,2017.10.03,2017-09-26,2017.09.26,605,2017-10-10,2017.10.10,1035,
62,성난 변호사,2015-10-08,2015.10.08,2015-10-01,2015.10.01,603,2015-10-15,2015.10.15,409,
63,상의원,2014-12-24,2014.12.24,2014-12-17,2014.12.17,597,2014-12-31,2014.12.31,680,
64,시간위의 집,2017-04-05,2017.04.05,2017-03-29,2017.03.29,588,2017-04-12,2017.04.12,415,
65,군도: 민란의 시대,2014-07-23,2014.07.23,2014-07-16,2014.07.16,576,2014-07-30,2014.07.30,801,
66,해적: 바다로 간 산적,2014-08-06,2014.08.06,2014-07-30,2014.07.30,566,2014-08-13,2014.08.13,1079,
67,우리는 형제입니다,2014-10-23,2014.10.23,2014-10-16,2014.10.16,546,2014-10-30,2014.10.30,346,
68,미씽: 사라진 여자,2016-11-30,2016.11.30,2016-11-23,2016.11.23,541,2016-12-07,2016.12.07,588,
69,카트,2014-11-13,2014.11.13,2014-11-06,2014.11.06,520,2014-11-20,2014.11.20,712,
70,엽기적인 그녀 2,2016-05-12,2016.05.12,2016-05-05,2016.05.05,515,2016-05-19,2016.05.19,206,
71,바람 바람 바람,2018-04-05,2018.04.05,2018-03-29,2018.03.29,504,2018-04-12,2018.04.12,811,
72,배반의 장미,2018-10-18,2018.10.18,2018-10-11,2018.10.11,497,2018-10-25,2018.10.25,438,
73,치외법권,2015-08-27,2015.08.27,2015-08-20,2015.08.20,494,2015-09-03,2015.09.03,583,
74,검은손,2015-04-16,2015.04.16,2015-04-09,2015.04.09,489,2015-04-23,2015.04.23,57,
75,부라더,2017-11-02,2017.11.02,2017-10-26,2017.10.26,486,2017-11-09,2017.11.09,542,
76,속닥속닥,2018-07-13,2018.07.13,2018-07-06,2018.07.06,485,2018-07-20,2018.07.20,276,
77,수상한 그녀,2014-01-22,2014.01.22,2014-01-15,2014.01.15,484,2014-01-29,2014.01.29,630,
78,무서운 이야기 3 : 화성에서 온 소녀,2016-06-01,2016.06.01,2016-05-25,2016.05.25,484,2016-06-08,2016.06.08,132,
79,비밥바룰라,2018-01-24,2018.01.24,2018-01-17,2018.01.17,477,2018-01-31,2018.01.31,183,
80,임금님의 사건수첩,2017-04-26,2017.04.26,2017-04-19,2017.04.19,472,2017-05-03,2017.05.03,634,
81,너의 결혼식,2018-08-22,2018.08.22,2018-08-15,2018.08.15,459,2018-08-29,2018.08.29,963,
82,조선명탐정: 흡혈괴마의 비밀,2018-02-08,2018.02.08,2018-02-01,2018.02.01,458,2018-02-15,2018.02.15,791,
83,귀향,2016-02-24,2016.02.24,2016-02-17,2016.02.17,457,2016-03-02,2016.03.02,1612,
84,스플릿,2016-11-09,2016.11.09,2016-11-02,2016.11.02,454,2016-11-16,2016.11.16,378,
85,슬로우 비디오,2014-10-02,2014.10.02,2014-09-25,2014.09.25,437,2014-10-09,2014.10.09,356,
86,내부자들: 디 오리지널,2015-12-31,2015.12.31,2015-12-24,2015.12.24,434,2016-01-07,2016.01.07,753,
87,표적,2014-04-30,2014.04.30,2014-04-23,2014.04.23,429,2014-05-07,2014.05.07,517,
88,널 기다리며,2016-03-10,2016.03.10,2016-03-03,2016.03.03,429,2016-03-17,2016.03.17,321,
89,동네사람들,2018-11-07,2018.11.07,2018-10-31,2018.10.31,427,2018-11-14,2018.11.14,774,
90,터널 3D,2014-08-20,2014.08.20,2014-08-13,2014.08.13,427,2014-08-27,2014.08.27,127,
91,또 하나의 약속,2014-02-06,2014.02.06,2014-01-30,2014.01.30,424,2014-02-13,2014.02.13,511,
92,노무현입니다,2017-05-25,2017.05.25,2017-05-18,2017.05.18,423,2017-06-01,2017.06.01,655,
93,미옥,2017-11-09,2017.11.09,2017-11-02,2017.11.02,420,2017-11-16,2017.11.16,557,
94,역린,2014-04-30,2014.04.30,2014-04-23,2014.04.23,413,2014-05-07,2014.05.07,925,
95,굿바이 싱글,2016-06-29,2016.06.29,2016-06-22,2016.06.22,412,2016-07-06,2016.07.06,658,
96,장산범,2017-08-17,2017.08.17,2017-08-10,2017.08.10,411,2017-08-24,2017.08.24,517,
97,도어락,2018-12-05,2018.12.05,2018-11-28,2018.11.28,410,2018-12-12,2018.12.12,771,
98,허스토리,2018-06-27,2018.06.27,2018-06-20,2018.06.20,399,2018-07-04,2018.07.04,672,
99,계춘할망,2016-05-19,2016.05.19,2016-05-12,2016.05.12,384,2016-05-26,2016.05.26,436,
100,제보자,2014-10-02,2014.10.02,2014-09-25,2014.09.25,368,2014-10-09,2014.10.09,772,
101,설계,2014-09-18,2014.09.18,2014-09-11,2014.09.11,367,2014-09-25,2014.09.25,203,
102,탐정: 리턴즈,2018-06-13,2018.06.13,2018-06-06,2018.06.06,350,2018-06-20,2018.06.20,824,
103,우아한 거짓말,2014-03-13,2014.03.13,2014-03-06,2014.03.06,347,2014-03-20,2014.03.20,495,
104,함정,2015-09-10,2015.09.10,2015-09-03,2015.09.03,345,2015-09-17,2015.09.17,393,
105,곤지암,2018-03-28,2018.03.28,2018-03-21,2018.03.21,341,2018-04-04,2018.04.04,504,
106,두 남자,2016-11-30,2016.11.30,2016-11-23,2016.11.23,330,2016-12-07,2016.12.07,278,
107,탐정 : 더 비기닝,2015-09-24,2015.09.24,2015-09-17,2015.09.17,297,2015-10-01,2015.10.01,878,
108,게이트,2018-02-28,2018.02.28,2018-02-21,2018.02.21,279,2018-03-07,2018.03.07,210,
109,나의 독재자,2014-10-30,2014.10.30,2014-10-23,2014.10.23,278,2014-11-06,2014.11.06,416,
110,원더풀 고스트,2018-09-26,2018.09.26,2018-09-19,2018.09.19,274,2018-10-03,2018.10.03,461,
111,구세주: 리턴즈,2017-09-14,2017.09.14,2017-09-07,2017.09.07,257,2017-09-21,2017.09.21,23,
112,특별수사: 사형수의 편지,2016-06-16,2016.06.16,2016-06-09,2016.06.09,239,2016-06-23,2016.06.23,379,
113,가시,2014-04-10,2014.04.10,2014-04-03,2014.04.03,239,2014-04-17,2014.04.17,215,
114,인천상륙작전 : 익스텐디드 에디션(확장판),2016-09-13,2016.09.13,2016-09-06,2016.09.06,233,2016-09-20,2016.09.20,150,
115,덕구,2018-04-05,2018.04.05,2018-03-29,2018.03.29,231,2018-04-12,2018.04.12,258,
116,방황하는 칼날,2014-04-10,2014.04.10,2014-04-03,2014.04.03,221,2014-04-17,2014.04.17,446,
117,소녀괴담,2014-07-02,2014.07.02,2014-06-25,2014.06.25,213,2014-07-09,2014.07.09,464,
118,여중생A,2018-06-20,2018.06.20,2018-06-13,2018.06.13,201,2018-06-27,2018.06.27,206,
119,채비,2017-11-09,2017.11.09,2017-11-02,2017.11.02,197,2017-11-16,2017.11.16,250,
120,번 더 스테이지: 더 무비,2018-11-15,2018.11.15,2018-11-08,2018.11.08,183,2018-11-22,2018.11.22,349,
121,머니백,2018-04-12,2018.04.12,2018-04-05,2018.04.05,162,2018-04-19,2018.04.19,193,
122,번개맨의 비밀,2018-12-06,2018.12.06,2018-11-29,2018.11.29,7,2018-12-13,2018.12.13,17,
123,혼숨,2016-10-26,2016.10.26,2016-10-19,2016.10.19,145,2016-11-02,2016.11.02,120,
124,해피 투게더,2018-11-15,2018.11.15,2018-11-08,2018.11.08,119,2018-11-22,2018.11.22,229,
125,약장수,2015-04-23,2015.04.23,2015-04-16,2015.04.16,99,2015-04-30,2015.04.30,185,
126,맨홀,2014-10-08,2014.10.08,2014-10-01,2014.10.01,94,2014-10-15,2014.10.15,130,
127,흥부: 글로 세상을 바꾼 자,2018-02-14,2018.02.14,2018-02-07,2018.02.07,87,2018-02-21,2018.02.21,729,
128,번개맨,2016-02-11,2016.02.11,2016-02-04,2016.02.04,65,2016-02-18,2016.02.18,55,
129,번개맨과 신비의 섬,2018-04-05,2018.04.05,2018-03-29,2018.03.29,8,2018-04-12,2018.04.12,16,
130,타투,2015-12-10,2015.12.10,2015-12-03,2015.12.03,49,2015-12-17,2015.12.17,29,
131,독전: 익스텐디드 컷,2018-07-18,2018.07.18,2018-07-11,2018.07.11,20,2018-07-25,2018.07.25,318,
