,영화명,개봉일,관객수,배급사,장르,상영등급,기사수,감독수상,감독파워,배우수상,배우파워,개봉전트윗,개봉후트윗,holiday,season,기대지수,비기대지수,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_관객수,개봉1일_스크린수,개봉1일_상영횟수,개봉1일_관객수,개봉2일_스크린수,개봉2일_상영횟수,개봉2일_관객수,개봉3일_스크린수,개봉3일_상영횟수,개봉3일_관객수,개봉평균스크린수,개봉평균상영횟수,개봉평균관객수,배급사크기
37,나의 독재자,20141030,385932,롯데쇼핑㈜롯데엔터테인먼트,드라마,15세 관람가,9345,10,0,29,8,55,168,0,3,2953,761,474.0,1096.0,29256.0,637,2838,37015,654,2958,55203,630,2903,83246,640,2899,58488,big
38,하이힐,20140603,341634,롯데쇼핑㈜롯데엔터테인먼트,범죄,청소년 관람불가,15447,10,0,3,2,110,211,0,2,2252,305,27.0,36.0,6369.0,291,753,13936,385,1683,47669,374,1644,30549,350,1360,30718,big
39,레드카펫,20141023,316953,(주)프레인글로벌,멜로/로맨스,15세 관람가,287654,0,0,1,1,104,168,0,3,4017,905,24.0,50.0,6916.0,375,1673,26180,385,1761,31504,378,1739,44259,379,1724,33981,small
40,덕수리 5형제,20141204,210777,롯데쇼핑㈜롯데엔터테인먼트,코미디,15세 관람가,4223,0,0,4,0,65,85,0,4,1647,604,13.0,32.0,5647.0,327,1342,18744,339,1362,23897,346,1257,41273,337,1320,27971,big
41,아빠를 빌려드립니다,20141120,172652,"메가박스중앙(주)플러스엠,(주)레드로버",코미디,12세 관람가,3861,0,0,3,9,54,50,0,3,3445,442,91.0,120.0,7052.0,324,1140,13283,322,1140,17132,326,1008,34844,324,1096,21753,mid
42,가시,20140410,142170,(주)인벤트스톤,멜로/로맨스,청소년 관람불가,30687,9,0,0,0,102,172,0,1,2456,413,7.0,17.0,3618.0,339,1638,20553,333,1658,20513,345,1511,27216,339,1602,22760,small
43,맨홀,20141008,133663,롯데쇼핑㈜롯데엔터테인먼트,공포(호러),청소년 관람불가,4750,0,0,12,3,30,159,0,3,5589,1139,11.0,17.0,3931.0,279,1462,26180,285,1332,29174,286,1261,13350,283,1351,22901,big
44,터널 3D,20140820,80989,(주)박수엔터테인먼트,공포(호러),15세 관람가,5947,0,0,0,0,0,0,1,2,2869,587,6.0,17.0,3571.0,264,916,19255,255,782,9033,258,742,8583,259,813,12290,small
45,설계,20140918,45726,(주)팝엔터테인먼트,스릴러,청소년 관람불가,92767,0,0,0,0,32,28,0,3,613,251,2.0,6.0,1635.0,252,932,8031,257,888,7214,249,677,7289,252,832,7511,small
46,백프로,20140403,37909,(주)마인스 엔터테인먼트,코미디,15세 관람가,1985,0,0,15,12,74,103,0,1,1123,138,6.0,8.0,1507.0,224,796,5451,227,780,4860,236,834,9552,229,803,6621,small
47,베테랑,20150805,13414009,씨제이이앤엠(주),액션,15세 관람가,93360,47,6,34,34,120,296,1,2,9952,1339,39.0,145.0,25421.0,957,5096,414219,942,5009,404907,984,5100,477754,961,5068,432293,big
48,암살,20150722,12705700,(주)쇼박스,액션,15세 관람가,81348,40,4,34,18,119,298,1,2,20846,3541,37.0,64.0,14375.0,1264,6245,477541,1330,6497,435039,1370,6813,543245,1321,6518,485275,big
49,내부자들,20151119,7055332,(주)쇼박스,범죄,청소년 관람불가,35719,16,2,35,15,84,263,0,3,12198,5619,712.0,1814.0,113784.0,907,4418,230949,954,4638,283518,1072,5334,489503,977,4796,334656,big
50,사도,20150916,6246849,(주)쇼박스,사극,12세 관람가,42818,97,8,39,15,131,284,0,3,22459,2652,15.0,63.0,14455.0,1123,6108,250237,1190,6447,223381,1203,6661,281969,1172,6405,251862,big
51,연평해전,20150624,6043784,(주)넥스트엔터테인먼트월드(NEW),드라마,12세 관람가,17579,9,1,4,6,86,294,0,2,28626,3205,42.0,81.0,9223.0,667,3147,153400,717,3296,170284,850,3688,228338,744,3377,184007,big
52,검은 사제들,20151105,5442128,씨제이이앤엠(주),미스터리,15세 관람가,19521,10,1,19,14,105,270,0,3,15918,2041,19.0,39.0,7584.0,834,4657,191090,887,4988,272689,1064,5983,581845,928,5209,348541,big
53,히말라야,20151216,5129409,씨제이이앤엠(주),드라마,12세 관람가,23893,9,4,16,8,111,252,0,4,13693,1976,77.0,168.0,26776.0,1009,4923,203173,978,4733,190883,1007,4926,242838,998,4860,212298,big
54,조선명탐정 : 사라진 놉의 딸,20150211,3872015,(주)쇼박스,사극,12세 관람가,7541,1,0,7,14,66,169,1,4,7406,952,14.0,34.0,8202.0,740,3670,113443,766,3741,110284,769,3889,137631,758,3766,120452,big
55,스물,20150325,3044811,(주)넥스트엔터테인먼트월드(NEW),코미디,15세 관람가,23837,2,0,3,3,122,301,0,1,27413,2121,58.0,167.0,18501.0,786,4212,151161,829,4500,114294,831,4667,160114,815,4459,141856,big
56,극비수사,20150618,2860786,(주)쇼박스,드라마,15세 관람가,10789,15,0,21,17,75,231,0,2,9189,1140,18.0,37.0,6663.0,722,3979,181737,770,4278,205567,894,4945,412599,795,4400,266634,big
57,탐정 : 더 비기닝,20150924,2625686,씨제이이앤엠(주),코미디,15세 관람가,6376,2,0,1,5,87,235,0,3,3319,638,49.0,200.0,24775.0,486,2200,50533,494,2294,95087,530,2379,182738,503,2291,109452,big
58,악의 연대기,20150514,2192525,씨제이이앤엠(주),스릴러,15세 관람가,10953,1,0,5,8,72,182,0,1,5113,582,22.0,65.0,12711.0,693,3816,114540,715,4002,168889,776,4415,293387,728,4077,192272,big
59,강남 1970,20150121,2192276,(주)쇼박스,액션,청소년 관람불가,20733,15,0,5,0,89,203,1,4,21361,4102,12.0,48.0,10822.0,684,2816,152329,696,2847,128753,752,3044,148335,710,2902,143139,big
60,뷰티 인사이드,20150820,2053435,(주)넥스트엔터테인먼트월드(NEW),판타지,12세 관람가,23636,0,0,30,27,48,111,1,2,17219,6346,81.0,237.0,29229.0,633,2819,114401,646,2885,118845,648,2867,185720,642,2857,139655,big
61,오늘의 연애,20150114,1891993,씨제이이앤엠(주),멜로/로맨스,15세 관람가,17057,19,0,2,2,127,227,1,4,19766,2573,9.0,35.0,7684.0,577,2798,133838,598,2900,153283,625,3070,157607,600,2922,148242,big
62,쎄시봉,20150205,1715370,씨제이이앤엠(주),멜로/로맨스,15세 관람가,14729,25,0,23,14,96,226,1,4,12076,24436,25.0,66.0,11447.0,757,3918,96139,773,4016,110021,829,4184,215539,786,4039,140566,big
63,더 폰,20151022,1593694,(주)넥스트엔터테인먼트월드(NEW),스릴러,15세 관람가,6409,2,0,8,8,51,160,0,3,5205,480,37.0,88.0,18634.0,705,3328,97241,749,3517,133145,794,3976,249459,749,3607,159948,big
64,대호,20151216,1584168,(주)넥스트엔터테인먼트월드(NEW),사극,12세 관람가,15321,11,0,20,2,106,328,0,4,8397,1702,27.0,92.0,19064.0,892,4005,128396,863,3534,107684,832,3491,116610,862,3676,117563,big
65,차이나타운,20150429,1472106,CGV아트하우스,범죄,청소년 관람불가,23441,6,0,15,5,80,260,0,1,5953,991,22.0,39.0,6348.0,443,2077,90899,495,2272,88335,500,2277,135205,479,2208,104813,mid
66,장수상회,20150409,1165780,씨제이이앤엠(주),멜로/로맨스,12세 관람가,9525,30,2,8,6,105,238,0,1,15600,1136,38.0,116.0,17046.0,640,3079,53241,653,3215,58574,688,3479,116858,660,3257,76224,big
67,성난 변호사,20151008,1128288,씨제이이앤엠(주),범죄,15세 관람가,5356,2,0,0,2,46,118,0,3,2973,470,65.0,123.0,13682.0,607,2839,89466,593,2800,160928,577,2666,156779,592,2768,135724,big
