,영화명,개봉일,관객수,배급사,장르,상영등급,기사수,감독수상,감독파워,배우수상,배우파워,개봉전트윗,개봉후트윗,holiday,season,기대지수,비기대지수,개봉이전_스크린수,개봉이전_상영횟수,개봉이전_관객수,개봉1일_스크린수,개봉1일_상영횟수,개봉1일_관객수,개봉2일_스크린수,개봉2일_상영횟수,개봉2일_관객수,개봉3일_스크린수,개봉3일_상영횟수,개봉3일_관객수,개봉평균스크린수,개봉평균상영횟수,개봉평균관객수,배급사크기
221,국가부도의 날,20181128,2222059,씨제이이앤엠(주),드라마,12세 관람가,7876,0,0,19,9,129,229,0,3,1172,275,22.0,111.0,19208.0,1180,5726,301330,1133,5709,181581,1156,5964,242516,1156,5799,241809,big
222,명당,20180919,2086418,메가박스중앙(주)플러스엠,사극,12세 관람가,14134,0,0,20,14,145,196,0,3,1758,112,21.0,64.0,11099.0,1069,4440,108903,1046,4362,90103,1043,4588,114575,1052,4463,104527,mid
223,협상,20180919,1967149,씨제이이앤엠(주),범죄,15세 관람가,50670,0,0,19,4,105,222,0,3,946,169,50.0,125.0,24577.0,898,3889,81031,883,3746,67737,868,3794,99740,883,3809,82836,big
224,창궐,20181025,1599290,(주)넥스트엔터테인먼트월드(NEW),사극,15세 관람가,11646,3,2,4,2,125,249,0,3,1631,238,20.0,61.0,11370.0,1283,6237,156629,1304,6399,204987,1351,6908,340570,1312,6514,234062,big
225,성난황소,20181122,1540004,(주)쇼박스,범죄,15세 관람가,5825,0,0,1,5,56,142,0,3,476,115,311.0,1151.0,84548.0,978,4455,135764,987,4558,151350,1006,4676,282197,990,4563,189770,big
226,리틀 포레스트,20180228,1505997,메가박스중앙(주)플러스엠,드라마,전체 관람가,11447,15,0,24,5,105,303,1,4,5613,276,35.0,84.0,15598.0,831,4188,131350,884,4274,167097,830,4101,78782,848,4187,125743,mid
227,골든슬럼버,20180214,1387508,씨제이이앤엠(주),범죄,15세 관람가,6084,0,0,18,19,112,218,1,4,4790,584,23.0,48.0,8685.0,762,3653,161564,822,3626,183922,815,3512,223269,799,3597,189585,big
228,궁합,20180228,1340117,씨제이이앤엠(주),코미디,12세 관람가,23869,0,0,5,3,116,249,1,4,5828,572,7.0,20.0,4602.0,855,4103,175057,876,4228,254670,884,4283,103101,871,4204,177609,big
229,사라진 밤,20180307,1315726,씨네그루(주)키다리이엔티,스릴러,15세 관람가,10544,0,0,1,4,110,173,0,1,397,58,33.0,52.0,8223.0,697,3386,57161,608,2996,65087,683,3207,91236,662,3196,71161,mid
230,바람 바람 바람,20180405,1194229,(주)넥스트엔터테인먼트월드(NEW),코미디,청소년 관람불가,6165,2,0,4,5,124,181,0,1,774,97,38.0,101.0,17430.0,792,3677,95534,955,4105,135974,985,4843,206378,910,4208,145962,big
231,챔피언,20180501,1128774,워너브러더스 코리아(주),드라마,12세 관람가,29365,1,0,1,6,76,163,0,1,726,101,11.0,14.0,3455.0,795,3892,139965,816,3921,62830,815,3697,54305,808,3836,85700,small
232,염력,20180131,990111,(주)넥스트엔터테인먼트월드(NEW),드라마,15세 관람가,7902,18,2,11,7,126,243,1,4,4301,1096,8.0,31.0,8581.0,1099,6347,264711,1053,5998,101924,1051,5717,103337,1067,6020,156657,big
233,인랑,20180725,898945,워너브러더스 코리아(주),SF,15세 관람가,10195,37,4,13,15,136,244,1,2,2941,948,69.0,96.0,19666.0,1085,4503,274510,1029,4270,101715,977,3838,88857,1030,4203,155027,small
234,레슬러,20180509,771141,롯데쇼핑㈜롯데엔터테인먼트,드라마,15세 관람가,8150,0,0,7,10,97,165,0,1,523,162,156.0,595.0,53608.0,878,4613,63660,881,4442,53923,902,4614,69096,887,4556,62226,big
235,상류사회,20180829,768249,롯데컬처웍스(주)롯데엔터테인먼트,드라마,청소년 관람불가,11005,0,0,7,3,80,178,1,2,364,467,6.0,15.0,3288.0,867,3691,131795,820,3590,82912,841,3634,89069,842,3638,101258,small
236,물괴,20180912,723951,"롯데컬처웍스(주)롯데엔터테인먼트,씨네그루(주)키다리이엔티",액션,15세 관람가,7215,2,0,5,5,125,254,0,3,1274,245,27.0,52.0,7437.0,1183,6519,105255,1151,6385,79106,1163,6409,93286,1165,6437,92549,small
237,미쓰백,20181011,722004,(주)리틀빅픽쳐스,드라마,15세 관람가,7084,1,0,4,2,114,275,0,3,690,78,8.0,59.0,10432.0,547,2141,21887,582,2183,34098,624,2190,60163,584,2171,38716,mid
238,버닝,20180517,528372,CGV아트하우스,미스터리,청소년 관람불가,14642,69,0,4,3,122,272,0,1,10341,3921,9.0,14.0,3101.0,728,2837,54088,739,2776,60958,705,2540,85021,724,2717,66689,mid
239,7년의 밤,20180328,528007,씨제이이앤엠(주),스릴러,15세 관람가,13150,14,1,10,5,94,192,0,1,5888,454,19.0,52.0,7911.0,872,3361,124688,836,3275,52833,812,3227,57164,840,3287,78228,big
240,변산,20180704,490519,메가박스중앙(주)플러스엠,드라마,15세 관람가,7676,97,8,5,1,78,209,1,2,1025,103,14.0,110.0,18814.0,763,3298,43149,741,3098,40456,695,2885,45057,733,3093,42887,mid
241,동네사람들,20181107,460381,(주)리틀빅픽쳐스,액션,15세 관람가,37499,0,0,7,6,40,114,0,3,517,88,10.0,27.0,4731.0,666,3131,54297,693,2867,51055,715,2833,53633,691,2943,52995,mid
242,원더풀 고스트,20180926,450374,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",코미디,12세 관람가,3365,0,0,1,5,21,75,0,3,946,134,12.0,33.0,6318.0,351,1856,163644,344,1813,35733,349,1796,36922,348,1821,78766,small
243,흥부: 글로 세상을 바꾼 자,20180214,416303,롯데쇼핑㈜롯데엔터테인먼트,사극,12세 관람가,780,9,0,4,6,63,184,1,4,4290,342,8.0,16.0,3850.0,557,2359,43694,579,2072,62908,568,1770,80692,568,2067,62431,big
244,도어락,20181205,395313,메가박스중앙(주)플러스엠,스릴러,15세 관람가,4619,0,0,0,3,118,241,0,4,383,68,44.0,108.0,20042.0,854,4323,122978,863,3986,112469,913,4226,139818,876,4178,125088,mid
245,허스토리,20180627,336100,(주)넥스트엔터테인먼트월드(NEW),드라마,12세 관람가,6906,8,0,8,4,75,230,0,2,494,49,55.0,190.0,32406.0,696,2617,44340,657,2590,25879,602,2469,25042,651,2558,31753,big
246,덕구,20180405,315359,메가박스중앙(주)플러스엠,드라마,전체 관람가,2781,0,0,0,1,31,102,0,1,446,27,9.0,49.0,11763.0,463,1760,17766,462,1703,20919,509,1486,40590,478,1649,26425,mid
247,번 더 스테이지: 더 무비,20181115,315014,월트디즈니컴퍼니코리아 유한책임회사,기타,전체 관람가,1036,0,0,0,0,52,131,0,3,1765,56,,,,243,698,76800,185,561,41901,200,533,61237,209,597,59979,small
248,치즈인더트랩,20180314,229005,(주)리틀빅픽쳐스,멜로/로맨스,15세 관람가,16072,0,0,1,3,116,141,0,1,3832,279,43.0,52.0,6155.0,346,1636,32805,338,1526,16640,350,1559,23166,344,1573,24203,mid
249,속닥속닥,20180713,217444,(주)그노스,공포(호러),15세 관람가,2522,0,0,0,0,56,122,1,2,272,35,7.0,11.0,2542.0,266,1216,56855,314,1330,61369,298,1284,43373,292,1276,53865,small
250,나를 기억해,20180419,141222,씨네그루(주)키다리이엔티,미스터리,청소년 관람불가,132994,0,0,2,1,42,73,0,1,555,104,2.0,5.0,833.0,484,2267,18797,514,2374,22593,545,2370,33511,514,2337,24967,mid
251,독전: 익스텐디드 컷,20180718,137871,(주)넥스트엔터테인먼트월드(NEW),범죄,15세 관람가,416,13,3,12,12,108,183,1,2,2703,174,,,,251,471,19998,303,592,14829,347,750,18465,300,604,17764,big
252,게이트,20180228,101381,(주)제이앤씨미디어그룹,범죄,15세 관람가,27412,0,0,11,9,27,33,1,4,371,121,5.0,9.0,1890.0,179,528,13723,208,554,19761,203,545,8289,196,542,13924,small
253,여중생A,20180620,97850,롯데컬처웍스(주)롯데엔터테인먼트,드라마,12세 관람가,4849,0,0,1,1,166,240,0,2,2820,337,18.0,34.0,5877.0,479,1730,11085,455,1321,5871,447,1308,7804,460,1453,8253,small
254,여곡성,20181108,67368,(주)스마일이엔티,공포(호러),15세 관람가,3475,0,0,4,1,76,128,0,3,391,93,3.0,7.0,1586.0,191,901,11477,196,830,12119,212,681,16151,199,804,13249,small
255,번개맨과 신비의 섬,20180405,60561,"힘컨텐츠(주),(주)디스테이션",가족,전체 관람가,69,0,0,0,0,0,4,0,1,57,8,3.0,3.0,638.0,114,137,2357,120,146,1602,182,407,16093,138,230,6684,small
256,머니백,20180412,53610,(주)리틀빅픽쳐스,액션,15세 관람가,2180,0,0,17,14,24,39,0,1,262,50,14.0,27.0,5079.0,472,1285,7666,463,1175,8000,463,932,12015,466,1130,9227,mid
257,데자뷰,20180530,48279,씨네그루(주)키다리이엔티,미스터리,15세 관람가,4593,0,0,0,0,44,51,0,1,159,42,6.0,9.0,1665.0,536,1759,15214,475,1515,6138,465,1239,5872,492,1504,9074,mid
258,비밥바룰라,20180124,47565,씨네그루(주)키다리이엔티,코미디,12세 관람가,1795,0,0,0,1,25,26,1,4,1231,77,9.0,12.0,1976.0,347,647,8922,347,648,6087,325,560,5399,339,618,6802,mid
259,배반의 장미,20181018,41054,롯데컬처웍스(주)롯데엔터테인먼트,코미디,15세 관람가,3616,0,0,1,4,38,45,0,3,115,46,5.0,5.0,1012.0,457,1384,9499,446,1235,6437,434,994,7436,445,1204,7790,small
260,해피 투게더,20181115,26141,플레이리스트(주),드라마,12세 관람가,34161,0,0,0,4,15,27,0,3,580,32,8.0,13.0,1998.0,240,373,3191,231,343,1992,225,318,4071,232,344,3084,small
261,번개맨의 비밀,20181206,6315,(주)디스테이션,가족,전체 관람가,183,0,0,0,0,0,1,0,4,54,8,3.0,7.0,1289.0,204,229,2513,189,205,2513,309,424,14058,234,286,6361,small
